,v_max_1,Ka1_1,Ka2_1,Ka3_1,K_g6p_1,Ks_g6p_pgi,Kp_f6p_pgi,kcat_f_2,Ks_f6p_3,Ks_atp_3,Kp_fbp_3,Kp_adp_3,kcat_f_3,Ks_fbp_4,Kp_g3p_4,Kp_dhap_4,kcat_f_4,kcat_f_5,Ks_dhap_5,Kp_g3p_5,kcat_f_6,Ks_g3p_6,Ks_pi_6,Ks_nad_6,Kp_pgp_6,Kp_nadh_6,kcat_f_7,Ks_pgp_7,Ks_adp_7,Ks_3pg_7,Ks_atp_7,kcat_f_8,Ks_3pg_8,Ks_2pg_8,kcat_f_9,Ks_2pg_9,Ks_pep_9
v_max_1,1.0,0.18001110143666527,0.6888257360474521,-0.44466842247786836,0.2805509283556856,-0.36729493636839794,0.5015474947068006,-0.36782405450719596,-0.30565287710516303,-0.16863215682129779,-0.31752749226646776,-0.23467779516783827,-0.3247582458957389,-0.25736562054266776,-0.161769087702114,0.32094263308523374,0.17189658123097168,-0.36179618929462726,-0.27703260743628355,-0.4900104902862152,0.23655776645559554,0.17645815493874087,0.456231534054731,-0.3128091402216298,-0.11389297235889546,-0.4184924860765051,0.06519316987720125,-0.01794713349832396,0.5824037331246833,0.6745844253081141,-0.21292704422439007,0.2957167210586454,-0.38491837784710625,-0.1857254995342423,-0.5491683160742719,-0.531923053542405,0.5027438524473229
Ka1_1,0.18009059603809968,0.9999999999999999,0.4411082249612945,-0.9265319235968923,0.4693552049327761,-0.9608126924872714,0.8321412405295658,-0.9482230558815052,0.35465883706460816,-0.3050958304325828,0.12993589943706343,-0.19659973710893147,0.02640741861970229,-0.0973669640483211,-0.06826225189585283,0.8698786803958517,-0.00324951980359802,-0.0954222537374126,0.8131710530902255,-0.9148971732914085,0.03422767952228125,0.29675632643325806,-0.3404351379564162,-0.11441537875177216,0.8771761099175521,0.6431029181202544,-0.09308292398415162,-0.23439204522672102,0.4597187021675246,0.5782890871438131,0.43550712141449277,-0.08325659110262798,0.08602357100251368,-0.9583428902929481,0.016123830992441666,-0.0025445813017695804,-0.03748597938458216
Ka2_1,0.68885851556924,0.44105714501271925,1.0,-0.6630858377489461,0.878327918641672,-0.5857848434714081,0.6699010651164748,-0.5939129930565434,-0.29454207683995115,-0.4203014136129949,-0.4224697250405133,-0.46634644786523843,-0.4775511720911415,-0.48135582513398006,-0.0045162434367331285,0.42178338751971,0.136767513841905,-0.481166078594463,0.028656606173503532,-0.6105688204571598,-0.153298011684284,0.14558600126276255,0.10830631315822037,-0.32566339471031264,0.23953339842051846,-0.04739102066658506,0.24181807074671907,-0.075112450403547,0.5204949076332018,0.6543589251456055,0.02593478264667788,0.08966380094744796,-0.2528401479125171,-0.4423963573990179,-0.2927127407773872,-0.26223731275961637,0.31699369029329383
Ka3_1,-0.44474965895051544,-0.9265148020720241,-0.6631310092581361,1.0,-0.5914365197675451,0.9902074752426997,-0.9736850287291142,0.9880472875094986,-0.21270226532210545,0.32167396192109105,-0.014535738094855264,0.2500340185355038,0.08303142684872715,0.1765162896808012,0.013061014138243376,-0.7942057592341042,-0.02268261719485503,0.2494230136619532,-0.6288698553755895,0.9598938591233294,-0.016947377572385274,-0.259261297559821,0.2534621200991901,0.2738907647084772,-0.7866495106754848,-0.5012512647588283,0.02047669693293266,0.1786286984766507,-0.6097755007371536,-0.6933359617701389,-0.39963450663513633,-0.04268244717082756,0.020508607005745257,0.9371212750501078,0.11884882859191061,0.12385725140543238,-0.10266035275974074
K_g6p_1,0.28059327295719483,0.46933755210580397,0.8783478097177353,-0.5914275230858049,1.0,-0.5350148390585319,0.5587626253982452,-0.5582472080329342,-0.2211075125059062,-0.5054220444820859,-0.404315651662735,-0.5275774754592019,-0.47577570491233345,-0.5357235591677292,0.07420201525711421,0.36260776213674584,0.06640427764084923,-0.4330626176396928,0.21531511653714225,-0.49140362815820415,-0.33391927876333377,0.1248072921951352,-0.13185286266275706,-0.24133906528513704,0.38276141970115246,0.19455904362280493,0.25995758577797085,-0.13799603820732834,0.3348564651714103,0.437235371089876,0.1606474582656296,-0.06375786556191279,-0.14449038425193897,-0.45723019877446247,-0.05967862905275679,-0.03183642856394515,0.11548714721129542
Ks_g6p_pgi,-0.3673770038218927,-0.9608005357953151,-0.585832596470825,0.9902127324938974,-0.5350266550047645,1.0,-0.9494081742983388,0.9919499700497664,-0.31062554197905023,0.28713699563324646,-0.10643460099664549,0.1945617950887145,-0.0031269200455809614,0.09923104287286243,0.0032000464126468544,-0.815630749866766,-0.008618071240237528,0.17199602949292192,-0.6924178353085804,0.9632747909642256,-0.04962169271317432,-0.23658909065458475,0.286901278387081,0.2198693140474926,-0.8254277720634196,-0.5564222098367689,0.06393689871810683,0.15777314071863013,-0.5610488051321239,-0.6712326259813816,-0.41637724802608383,-0.014537326277010642,-0.04504117541786332,0.9614175043789268,0.08482796178612084,0.09546075959478198,-0.06282116124143083
Kp_f6p_pgi,0.5016293493199346,0.8321219424398442,0.6699457711341787,-0.9736829418717535,0.5587706717586187,-0.9494007644791856,1.0,-0.9532088761382517,0.20777655605445358,-0.2535025950748111,0.04519087227331597,-0.19160279924758097,-0.04608409288800393,-0.12484818460203502,0.07957164874804876,0.6711785570645046,0.0037670636047927916,-0.2647450965567786,0.5163772145802636,-0.9204662698081515,0.02152871397861929,0.16776025482967213,-0.2455778927646971,-0.34365694757325205,0.7215164395365884,0.44682965275934894,-0.020978107951612267,-0.09089759778680401,0.6334355483513593,0.6831008472508088,0.3975876110786465,0.10650145249661191,-0.018840148973901405,-0.8880294440644106,-0.1638822897813729,-0.16657961770556584,0.14667566804707863
kcat_f_2,-0.36790681695481886,-0.9482121919658069,-0.5939616962599549,0.9880539778230696,-0.5582598346268217,0.9919513833256686,-0.9532177181965817,1.0,-0.29052127390137766,0.3019001924493358,-0.08451641706849584,0.21482610001047744,0.017466458583262456,0.13270345475556924,-0.03328952802828873,-0.7853498731779923,-0.002863835608287026,0.1866262361587062,-0.6842514508290384,0.9531001593590372,-0.04655728402308594,-0.2289080872319618,0.29494938343914556,0.2294050316815382,-0.8242129601864134,-0.5653746664106369,0.06779673353346304,0.1589276818699713,-0.5596056291341717,-0.6634275277399247,-0.4194026804894833,-0.028711159350446956,-0.026562446725823637,0.9550329651936933,0.10327399663679458,0.11173556610059174,-0.08246117902800044
Ks_f6p_3,-0.3056213044038275,0.35468430233353776,-0.2945113231327738,-0.21273498931560655,-0.22108699582989755,-0.31065658919476563,0.20781025902794148,-0.290551997275307,1.0,0.22089432664677355,0.8868108998116176,0.42869326018082865,0.7652731761083889,0.6404905600306595,0.4074348379268345,0.08771582632194712,-0.11397369777192197,0.5443287983292857,0.4418082504755954,-0.2669225794825879,0.2634070999291952,-0.39649081898440053,-0.31621643253689247,0.23575870577795136,0.41384719265536707,0.4982944154181383,-0.3921291683847316,0.40497194658929475,-0.19998020341481076,0.08333088949366094,0.2044594161314629,-0.03854830073784428,0.5364549449835683,-0.3956113452461898,0.0906457294010293,0.047639905975772334,-0.14508662345500484
Ks_atp_3,-0.16866133899643276,-0.30508509979551546,-0.4203157374355671,0.3216693432188634,-0.5054228641682766,0.28713041613104934,-0.25349874207261985,0.30189311440499356,0.22090785616377664,1.0,0.645979676022527,0.9746036237992008,0.7870016773994308,0.8739225905813464,0.403380834747938,-0.4187628178743617,0.042666550614316213,0.6507695135533119,-0.11145952678595777,0.22972632807658258,0.24127565224913713,-0.5844321672865189,0.023657006332085027,0.4294227103646429,-0.18170748871736314,0.01933141797088909,-0.07126973717271629,0.6697884146176774,-0.5229325222462187,-0.1823759827214671,-0.16658949191207303,0.24049414213206138,0.6549787479096506,0.19428814417811346,0.13275459934409992,0.1272839293059177,-0.15773271814861875
