,v_max_1,Ka1_1,Ka2_1,Ka3_1,K_g6p_1,Ks_g6p_pgi,Kp_f6p_pgi,kcat_f_2,Ks_f6p_3,Ks_atp_3,Kp_fbp_3,Kp_adp_3,kcat_f_3,Ks_fbp_4,Kp_g3p_4,Kp_dhap_4,kcat_f_4,kcat_f_5,Ks_dhap_5,Kp_g3p_5,kcat_f_6,Ks_g3p_6,Ks_pi_6,Ks_nad_6,Kp_pgp_6,Kp_nadh_6,kcat_f_7,Ks_pgp_7,Ks_adp_7,Ks_3pg_7,Ks_atp_7,kcat_f_8,Ks_3pg_8,Ks_2pg_8,kcat_f_9,Ks_2pg_9,Ks_pep_9
v_max_1,118.14680496673488,-88342.28113901189,-70925.80168392544,-1162.7974913620967,38.09029727360254,-53.25309931014729,1.2123410589970143,0.8622052605566938,-1492.4227395016308,-641.9565052113877,0.3642746712189835,0.3631720783644285,1.9759244023418236,-12059.082041890613,0.00010426334554408234,0.00010347394553059728,1378.8160090021988,0.051767137217163604,-115.69008054271225,5.5863381453711666e-05,0.11626735080981192,-4.7841826171342055,-0.7470388120275253,-5037.103205610581,6.865561285775393e-08,6.855115776547089e-08,0.06541924644889717,-1304.3623579458051,-1304.3623579457228,0.0002852397812966953,0.00028904150336956784,1.7911029085860342,-267.20540330191926,0.2616625803199543,3.357409586858672,-1743.2822132850356,1.3662290556264107
Ka1_1,-88342.28113901187,120564917.45560384,104207279.40891106,456990.74465160276,-49041.012020623646,68410.89413737804,-1589.233362522759,-1110.7176977066945,1922156.9761833334,826804.0564099121,-468.9971339975316,-467.5775653873329,-2544.170019296975,3560515.0688888323,-0.06267642200721192,-0.06220188545633238,-401733.43161866354,-14.647147496275366,30214.694755028162,-0.015818287035625593,-39.17113168238188,1427.1394741901636,222.84445697750846,1502586.6267209845,-2.352650043019064e-05,-2.349070637532258e-05,-21.103776275324527,354074.4020373363,354074.4020373217,-0.09254808027836223,-0.09378157610420687,-600.8865422790312,87180.3721975645,-144.54179117219016,-882.9407870681116,448226.2060409499,-529.1244857838025
Ka2_1,-70925.80168392543,104207279.40891106,97335360.75777726,258279.7554451393,-54403.35469193219,75844.47333577418,-1767.9901164564005,-1231.9956579064567,2132581.457476259,917316.8588795618,-520.3258801643087,-518.7509488203593,-2822.588376931532,1602375.1424466388,-0.04528636069772522,-0.044943488007818125,-177492.62001642614,-6.118926286128656,11109.696181995627,-0.0066143347226377755,-20.521068114884255,636.1048430470909,99.32626831024614,669733.1603817294,-1.2561122728134174e-05,-1.2542011789068268e-05,-10.758855654927087,134341.31468613708,134341.31468614176,-0.047523198970615715,-0.04815659587505855,-290.52531559726754,40721.774823667896,-102.86922605913703,-334.60737450949927,161586.93015847,-336.72703870731794
Ka3_1,-1162.7974913620967,456990.74465160276,258279.75544513925,14976.969734054323,-123.58521552664746,174.54463476458065,-3.643490256792519,-2.793913668340343,4833.918435969463,2079.280423365905,-1.1813415450052267,-1.1777658400517401,-6.406869424932462,163421.7032908314,-0.0011634253459421404,-0.0011546168046567683,-18729.925376819778,-0.7102175539729276,1607.0639494096754,-0.0007663270954009867,-1.5402741165670368,65.03758431255822,10.155465125429997,68475.86111213197,-9.059982806586783e-07,-9.046198626375666e-07,-0.8730384759918901,18059.073215780783,18059.073215779536,-0.003801642638339502,-0.003852311548074564,-23.949786625771637,3594.1253646615737,-3.0102566319573296,-46.58397299159887,24286.548968318304,-17.3309549161317
K_g6p_1,38.09029727360254,-49041.01202062365,-54403.354691932196,-123.58521552664747,42.5602123736588,-59.21124399448455,1.379765506003261,0.9617335420917152,-1669.3973636435583,-718.0810563979965,0.4077121620162354,0.40647809181571776,2.210294562388073,-2224.886741086377,2.7091416882701342e-05,2.688630199078146e-05,254.02687425533878,0.002970058718458541,-5.659422634072894,3.209124769816303e-06,0.011475572250681238,-0.3570601330652729,-0.05575409614842373,-375.93647333120964,7.018511508374911e-09,7.007833295234775e-09,0.0065550344991765494,-70.15892944619925,-70.15892944620921,2.8990932974472e-05,2.9377328831664945e-05,0.13892467162925795,-19.23695120741982,0.05447950224293092,0.20418285975940806,-97.51728976351035,0.22103108411469363
Ks_g6p_pgi,-53.2530993101473,68410.89413737804,75844.4733357742,174.54463476458065,-59.21124399448455,87.33238838781583,-1.9794634195042466,-1.4134169605393483,2424.161366647559,1042.738171840773,-0.5922835098450316,-0.5904907759070909,-3.209991890969865,2765.4444008467713,-3.6317932977264826e-05,-3.60429621653048e-05,-315.5030730459688,-0.004419423158724732,8.510024471729484,-4.7743875427870235e-06,-0.01642014824403415,0.5085007970837854,0.07940119802447194,535.3831991846815,-1.0047113506052851e-08,-1.0031827470070289e-08,-0.00910586642126823,99.60901006626328,99.60901006627569,-4.0272648137839775e-05,-4.080940852469378e-05,-0.20315780733038147,28.238776083308256,-0.07689441564767897,-0.29500347055793064,141.44628151048366,-0.31033296546464845
Kp_f6p_pgi,1.2123410589970143,-1589.233362522759,-1767.9901164564008,-3.6434902567925187,1.379765506003261,-1.9794634195042464,0.04571957742156543,0.03211376094921558,-55.68338614812549,-23.951867673849378,0.013627824936905345,0.013586576001457018,0.07375865814649413,-46.98502092462489,7.791966152050948e-07,7.732971515408627e-07,5.316391507715061,8.394089689838797e-05,-0.14858109717854243,9.072321220535207e-08,0.0003340407720084468,-0.009620997526026676,-0.0015022960320571436,-10.12962116160241,2.0592059430031854e-10,2.0560729938111817e-10,0.0001853262731655366,-1.784853096888605,-1.784853096888949,8.214103203063246e-07,8.323582102931719e-07,0.003912772619561251,-0.5347889230229839,0.001692705388449699,0.005351641199053404,-2.5024262005072493,0.006675831524073947
kcat_f_2,0.8622052605566937,-1110.7176977066945,-1231.9956579064567,-2.793913668340342,0.9617335420917151,-1.413416960539348,0.03211376094921558,0.02288233387432855,-39.2922562316195,-16.901323482074478,0.00960133033028482,0.009572268858124323,0.052030800218058705,-43.08525671992593,5.829953700313301e-07,5.785813878158005e-07,4.910969849386707,6.997564442458297e-05,-0.13345988673810516,7.559982904327457e-08,0.00026205205977177935,-0.008042149814084031,-0.001255762692197568,-8.467306089743108,1.6049789071090652e-10,1.6025370350917352e-10,0.0001452379006347709,-1.5651621161209612,-1.565162116121168,6.425225386212957e-07,6.510861832371706e-07,0.003222846513427919,-0.44712373514101345,0.0012396246000060912,0.004645384422107678,-2.221264546813182,0.0049867253462909005
Ks_f6p_3,-1492.4227395016308,1922156.9761833334,2132581.4574762597,4833.918435969462,-1669.397363643558,2424.161366647559,-55.68338614812549,-39.2922562316195,73577.15454827377,31648.762610639908,-18.173380959339504,-18.11837345656189,-97.7269777466377,90862.78457103904,-0.0010779099039241445,-0.0010697488182784562,-10379.275560285507,-0.11436177006830964,217.587602038932,-0.00012357245039707957,-0.4473454280698655,13.955508695476285,2.1791197099719555,14693.280589690425,-2.735267085358428e-07,-2.731105552689017e-07,-0.25775750926897745,2743.486466290561,2743.486466290967,-0.0011399685334602804,-0.0011551622189842085,-5.408441279496795,747.7994951986473,-2.132088397244899,-7.948188305481585,3792.760278128246,-8.657090173900087
Ks_atp_3,-641.9565052113877,826804.0564099121,917316.8588795619,2079.280423365905,-718.0810563979963,1042.738171840773,-23.951867673849378,-16.901323482074478,31648.762610639904,13613.521492292326,-7.817168567418507,-7.793507426838918,-42.03666122110441,39084.07054724907,-0.00046365634651677833,-0.00046014590548611807,-4464.581843299963,-0.04919201530482982,93.59397500796811,-5.315393306309913e-05,-0.19242289736346457,6.002876633725608,0.9373350032967132,6320.224697593257,-1.1765583922440059e-07,-1.1747683344419724e-07,-0.11087281469428703,1180.0939086352646,1180.0939086354394,-0.0004903504861065623,-0.000496885956923282,-2.326407907444632,321.6613750450294,-0.9171047720394164,-3.418864543066963,1631.4326154430203,-3.7237943420726523
Kp_fbp_3,0.36427467121898344,-468.99713399753153,-520.3258801643088,-1.1813415450052265,0.40771216201623534,-0.5922835098450316,0.013627824936905345,0.00960133033028482,-18.173380959339504,-7.817168567418507,0.0045210405481056985,0.004507356184636731,0.02417024102418616,-25.405188244898497,2.705155432511138e-07,2.684674124111194e-07,2.9109936047788745,2.7458854074181336e-05,-0.05334361338971315,2.9669693467114535e-08,0.00010935075318095188,-0.0034767625881176344,-0.0005428882635511759,-3.6605651120055103,6.672542933297252e-11,6.662391089057424e-11,6.392662918383349e-05,-0.6845455893988435,-0.6845455893989434,2.826394588145769e-07,2.864065233675331e-07,0.001313474662652412,-0.18141770765380708,0.0005199967325748986,0.0019513177958471754,-0.9313379044311183,0.002121290147051287
Kp_adp_3,0.36317207836442855,-467.577565387333,-518.7509488203594,-1.1777658400517401,0.40647809181571776,-0.5904907759070909,0.01358657600145702,0.009572268858124325,-18.11837345656189,-7.793507426838918,0.004507356184636732,0.004493713241235014,0.024097082121984734,-25.32829138316219,2.6969674214140154e-07,2.676548106191411e-07,2.9021825591537067,2.7375741141308716e-05,-0.0531821520211203,2.9579888727454902e-08,0.00010901976843613414,-0.0034662390631803198,-0.000541245039996257,-3.6494852504203377,6.652346365319259e-11,6.64222524885658e-11,6.37331349605933e-05,-0.6824735950080322,-0.6824735950081317,2.8178396082823553e-07,2.855396231652627e-07,0.001309499014900604,-0.18086858940883455,0.0005184227975005495,0.0019454115135040975,-0.9285189148067308,0.0021148693894654097
kcat_f_3,1.9759244023418234,-2544.170019296975,-2822.588376931532,-6.406869424932462,2.210294562388073,-3.2099918909698646,0.07375865814649411,0.052030800218058705,-97.7269777466377,-42.03666122110441,0.02417024102418616,0.02409708212198473,0.12985082651510485,-122.4285929954404,1.4394208412534092e-06,1.4285226792429366e-06,13.985749979732754,0.00015071391818393708,-0.2865303076086918,1.628550103768063e-07,0.0005926792747285705,-0.018519070904259086,-0.002891709166497127,-19.498100068889183,3.623294659426101e-10,3.6177820500078803e-10,0.0003428723157208152,-3.647257930321365,-3.647257930321909,1.5163328403687263e-06,1.5365427704237619e-06,0.007171815414243207,-0.9916556103528663,0.0028243357579534286,0.01056704674641414,-5.044015464703589,0.011481715589446155
Ks_fbp_4,-12059.082041890613,3560515.0688888323,1602375.1424466388,163421.7032908314,-2224.886741086377,2765.4444008467713,-46.98502092462489,-43.08525671992593,90862.78457103904,39084.07054724907,-25.405188244898497,-25.328291383162195,-122.4285929954404,45325318.22531315,-0.08145272498401483,-0.08083602904101303,-5330056.053490618,-4.805589142435814,32865.926190385624,-0.005145802290794662,-21.321002648861423,1747.272789690297,272.832517810785,1839644.1094245003,-1.0763186415413932e-05,-1.0746810920633086e-05,-13.189198261107316,307479.71591036906,307479.71591031156,-0.057001759043719354,-0.057761487734293085,-254.5373579861163,38105.844039646494,-34.147522626861964,-566.5853860145435,294103.26570831606,-225.59383293551346
