,C_g6p,C_f6p,C_fbp,C_dhap,C_g3p,C_pgp,C_3pg,C_2pg,C_pep,v_pts,v_pgi,v_pfkB,v_fbaA,v_tpiA,v_gapA,v_pgk,v_gpmA,v_eno
KO02,0.074,0.0325,0.0133,,,,0.1,,0.0275,3.14,2.7318,2.7946,2.7946,2.7946,5.5578,5.5578,5.2438,5.2438
KO03,0.049,0.0127,,,,,0.0725,,0.0188,3.06,2.3868,2.6316,2.6316,2.6316,5.2938,5.2938,5.0184,5.0184
KO04,0.088,,,,,,,,,2.73,0.0,0.9282,0.9282,0.9282,3.276,3.276,2.9757,2.9757
KO05,0.853,0.213,0.0147,0.107,,,0.0443,,0.013,2.72,2.2848,2.3664,2.3664,2.3664,4.7056,4.7056,4.4064000000000005,4.4064000000000005
KO07,0.135,0.0339,0.0203,,,,0.339,,0.0664,2.7,2.295,2.349,2.349,2.349,4.671,4.671,4.3740000000000006,4.3740000000000006
KO08,0.24,0.0655,0.0279,,,,0.133,,0.0395,2.76,2.0147999999999997,2.2907999999999995,2.2907999999999995,2.2907999999999995,4.6644,4.6644,4.3884,4.3884
KO10,0.182,,,,,,,,,2.7,2.241,2.322,2.322,2.322,4.644,4.644,4.347,4.347
KO11,0.164,0.0545,0.0282,,,,0.735,,0.215,3.33,2.9304,2.9970000000000003,2.9970000000000003,2.9970000000000003,5.9274,5.9274,5.6277,5.6277
KO12,0.179,0.0506,0.00659,,,,0.701,,0.23,2.82,2.0868,2.3688,2.3688,2.3688,4.794,4.794,4.512,4.512
KO13,0.248,0.0666,0.0655,,,,0.551,,0.159,2.8,1.3159999999999998,2.0999999999999996,2.0999999999999996,2.0999999999999996,4.508,4.508,4.199999999999999,4.199999999999999
KO14,0.16,0.0482,0.051,,,,0.44,,0.0825,3.0,2.04,2.46,2.46,2.46,5.1,5.1,4.800000000000001,4.800000000000001
KO15,0.315,0.068,,,,,0.175,,,3.18,3.1482,2.9574000000000003,2.9574000000000003,2.9574000000000003,5.755800000000001,5.755800000000001,5.4378,5.4378
KO16,0.112,0.0153,,0.0573,,,0.0892,,0.0266,3.36,2.6208,2.8895999999999997,2.8895999999999997,2.8895999999999997,5.812799999999999,5.812799999999999,5.4432,5.4432
KO17,0.245,0.0353,0.0342,0.00373,,,0.452,,0.102,2.92,2.8908,2.7156,2.7156,2.7156,5.3144,5.3144,5.0516,5.0516
KO18,0.808,0.635,0.469,0.0482,,,0.138,,0.0266,3.63,3.3396,3.3396,3.3396,3.3396,6.5703,6.5703,6.2799,6.2799
KO19,0.289,0.149,0.0562,0.00738,,,0.301,,0.0575,3.18,2.1306000000000003,2.1942,2.1942,2.1942,4.9926,4.9926,4.7064,4.7064
KO20,0.295,0.211,0.0142,,,,0.409,,0.0692,4.15,2.1165000000000003,3.2785000000000006,3.2785000000000006,3.2785000000000006,7.0135000000000005,7.0135000000000005,6.723000000000001,6.723000000000001
KO21,0.216,0.105,0.0126,0.00217,,,0.154,,,4.49,3.5022,3.5471000000000004,3.5471000000000004,3.5471000000000004,7.6779,7.6779,7.3636,7.3636
KO22,0.112,0.0745,,,,,0.141,,0.0175,2.97,2.5542,2.6136000000000004,2.6136000000000004,2.6136000000000004,5.197500000000001,5.197500000000001,4.9005,4.9005
KO23,0.246,0.0762,0.044,,,,0.597,,0.0827,2.8,2.38,2.436,2.436,2.436,4.872,4.872,4.563999999999999,4.563999999999999
KO24,0.229,0.0846,0.0493,0.0058,,,0.44,,0.0782,2.94,2.5284,2.5872,2.5872,2.5872,5.145,5.145,4.851,4.851
RF03,0.185,0.045,0.0312,,,,0.746,,0.175,3.28,2.8535999999999997,2.9192,2.9192,2.9192,5.8384,5.8384,5.5432,5.5432
