kind,name,v_max_1,Ka1_1,Ka2_1,Ka3_1,K_g6p_1,Ks_g6p_pgi,Kp_f6p_pgi,kcat_f_2,Ks_f6p_3,Ks_atp_3,Kp_fbp_3,Kp_adp_3,kcat_f_3,Ks_fbp_4,Kp_g3p_4,Kp_dhap_4,kcat_f_4,kcat_f_5,Ks_dhap_5,Kp_g3p_5,kcat_f_6,Ks_g3p_6,Ks_pi_6,Ks_nad_6,Kp_pgp_6,Kp_nadh_6,kcat_f_7,Ks_pgp_7,Ks_adp_7,Ks_3pg_7,Ks_atp_7,kcat_f_8,Ks_3pg_8,Ks_2pg_8,kcat_f_9,Ks_2pg_9,Ks_pep_9
concentration,C_g6p,-1.7011722307813046e-05,0.002791697441778133,0.0005567194963832671,0.0002454129445425437,-1.9123734735921317e-08,0.011337854230652153,-3.693585703329203e-05,-0.00016229094039510675,0.13835790112629756,0.05951380418197083,-1.2757421145213043e-05,-1.2718806762966243e-05,-0.00017193558317242567,0.0016308758407663113,-4.340322642456643e-11,-4.307461134563299e-11,-0.00011153160751767492,-2.302501098250715e-09,4.347765937171553e-06,-2.4972027571442215e-12,-1.2115802661261276e-08,1.078341421261108e-06,1.6838046512047566e-07,0.0011353490166280014,-5.963925968435155e-15,-5.954852239130643e-15,-5.49884654345617e-09,8.227526694161459e-05,8.22752669410151e-05,-2.428595669366903e-11,-2.4609643864033713e-11,-6.012960839981346e-07,8.99906073729947e-05,-7.47325200780632e-08,-2.7752406413429484e-07,0.00014458384451247546,-1.1416492762871999e-07
concentration,C_f6p,-6.390626389659432e-06,0.0010487295184203535,0.0002091373372342751,9.219186695972117e-05,-7.184025324473154e-09,1.7925035662754568e-08,-5.839522550094601e-11,-2.5658037534799744e-10,0.05197555224910495,0.02235696562048449,-4.792454958474556e-06,-4.777949073189382e-06,-6.458934989553842e-05,0.000612655085604569,-1.63048631514249e-11,-1.618141555702132e-11,-4.189798195750129e-05,-8.649579398928235e-10,1.6332824644710992e-06,-9.380995969875956e-13,-4.551424413269042e-09,4.050899150272702e-07,6.325383312110654e-08,0.0004265053976462733,-2.2404094066540636e-15,-2.2370007680356974e-15,-2.065697593687575e-09,3.090754026315719e-05,3.090754026295447e-05,-9.123266471725384e-12,-9.244862847160434e-12,-2.2588298545207833e-07,3.3805886312940296e-05,-2.8074030739311903e-08,-1.0425473542462911e-07,5.431439072987219e-05,-4.288721542705258e-08
concentration,C_fbp,-0.004853176627775212,0.7964273417534659,0.1588233101379236,0.0700124505359659,-5.455700532657291e-06,1.3612650594308527e-05,-4.434656734572487e-08,-1.9485255510217545e-07,0.0001661176555510607,7.145449261046102e-05,-1.5317035559720684e-08,-1.527067369245708e-08,-2.0643227275005743e-07,0.4652632091554726,-1.2382257379269043e-08,-1.2288508669296494e-08,-0.031818212238370995,-6.568673244604268e-07,0.0012403491927994318,-7.124126433645438e-10,-3.4564478097453375e-06,0.0003076338355639993,4.8036296573656216e-05,0.3238972052872534,-1.7014142130818502e-12,-1.6988256209585913e-12,-1.5687343730438998e-06,0.023471838736624968,0.02347183873662396,-6.928401210640183e-09,-7.0207440658088186e-09,-0.00017154030901547694,0.025672903928808666,-2.1320011769341702e-05,-7.917324759320947e-05,0.04124749525877886,-3.256945703007992e-05
concentration,C_dhap,-0.004880685955274053,0.8009417417544756,0.15972357048040306,0.07040930306751558,-5.486625154652201e-06,1.3689811367975726e-05,-4.459793760034363e-08,-1.959570405070502e-07,0.0001670592625509516,7.185951909723246e-05,-1.540385732380838e-08,-1.53572326629294e-08,-2.0760239565106403e-07,1.9692486551906774e-06,-5.2408493086199495e-14,-5.201169720234488e-14,-1.346720962349629e-07,-1.321182665760711e-06,0.002494762324131819,-1.4329031148797995e-09,-3.4760400401704296e-06,0.0003093776006444132,4.830858137095166e-05,0.3257331562488542,-1.7110583625514785e-12,-1.7084550974761265e-12,-1.5776264515604894e-06,0.023604884481374613,0.023604884481373614,-6.967673562045684e-09,-7.060539845483909e-09,-0.0001725126532967693,0.025818426001507574,-2.1440860283839457e-05,-7.962202639615131e-05,0.041481299000690516,-3.275407092912741e-05
concentration,C_g3p,-0.0005502255918824678,0.09029440696630227,0.018006484520929615,0.007937613853743739,-6.185363288726967e-07,1.5433249817198488e-06,-5.027761842855181e-09,-2.2091275608506687e-08,1.8833475961963914e-05,8.10110439188161e-06,-1.7365584655384651e-09,-1.7313022204402189e-09,-2.340411820594479e-08,2.2200380973543673e-07,-5.908286440540545e-15,-5.86355354337477e-15,-1.518229724470641e-08,-3.1342914519597605e-13,5.918418436412641e-10,-3.39932998535343e-16,-3.9187241425422534e-07,3.487777640063132e-05,5.4460823788736735e-06,0.03672162485666558,-1.9289667659583523e-13,-1.9260319672844798e-13,-1.7785419017613616e-07,0.0026611037165886133,0.0026611037165885,-7.855027643353342e-10,-7.959720725922005e-10,-1.9448265599809538e-05,0.0029106479823399214,-2.4171418010201497e-06,-8.97621297542466e-06,0.004676406657561106,-3.692539988987576e-06
concentration,C_pgp,-2.2285758647201913e-06,0.00036571896882479536,7.293157098438215e-05,3.214967627623498e-05,-2.505254488913452e-09,6.250921179279678e-09,-2.0363917749110247e-11,-8.947617916779343e-11,7.628113013427283e-08,3.2811861155996e-08,-7.0335737578736984e-12,-7.0122844155789094e-12,-9.479357873991792e-11,8.991808425451862e-10,-2.3930299877424438e-17,-2.374911959468428e-17,-6.14927778492495e-11,-1.2694802730736701e-15,2.3971339048674786e-12,-1.376828761858809e-18,-6.680028375995095e-15,5.945418628978541e-13,9.283630034105373e-14,6.259728492462203e-10,-3.2882012076776194e-21,-3.283198293874735e-21,-7.203619052138264e-10,1.0778254599204059e-05,1.0778254599202005e-05,-3.181517777608147e-12,-3.2239215626100986e-12,-7.877120941996495e-08,1.178898244617747e-05,-9.790136916258611e-09,-3.6356308919011475e-08,1.894082566207518e-05,-1.49558755906202e-08
concentration,C_3pg,-0.0015270464439266541,0.25059494705184654,0.04997357186028421,0.02202933703456577,-1.7166298975898195e-06,4.283204852568734e-06,-1.3953596409020205e-08,-6.131013234837001e-08,5.226872926095643e-05,2.24830739173786e-05,-4.819487622166327e-09,-4.804899913953325e-09,-6.495367719525207e-08,6.161292537630113e-07,-1.639732273017369e-14,-1.6273175102197725e-14,-4.213557183504905e-08,-8.698628438688842e-13,1.6425442157863978e-09,-9.434192367154855e-16,-4.57723384246493e-12,4.073870416339581e-10,6.361252351756344e-11,4.289239574122708e-07,-2.2531140277741336e-18,-2.249685976085149e-18,-2.077411281771662e-12,3.1082802546180103e-08,3.10828026594293e-08,-9.175000214791485e-15,-9.297286295282629e-15,-5.39749609303417e-05,0.00807794969286689,-6.708317181478439e-06,-2.491177129212599e-05,0.012978476941343544,-1.0247942193944663e-05
concentration,C_2pg,-0.0002838272171713286,0.046577277817450885,0.009288427270583483,0.00409452210934221,-3.1906448470104556e-07,7.961055269241618e-07,-2.593510141133682e-09,-1.1395517351855412e-08,9.715020804672122e-06,4.178856726549622e-06,-8.957826826714303e-10,-8.930713122058501e-10,-1.2072731329304617e-08,1.1451745310903015e-07,-3.047704074408364e-15,-3.0246292572972014e-15,-7.831568363214099e-09,-1.6167788877518112e-13,3.0529305274113286e-10,-1.7534951880048564e-16,-8.507519510126537e-13,7.571938219976363e-11,1.1823402561706551e-11,7.972236187141984e-08,-4.187771941346462e-19,-4.181400389480482e-19,-3.8612004036851373e-13,5.777234943016377e-09,5.777234955980244e-09,-1.705320229416541e-15,-1.7280490409748344e-15,-4.222203547215899e-11,6.318994451671439e-09,-5.2475963121824615e-12,-4.630270905497117e-06,0.002412267818072119,-1.9047520959232864e-06
concentration,C_pep,-0.0012810946454875584,0.2102331897835706,0.041924641899871905,0.01848120980921423,-1.4401430806722741e-06,3.5933358962193694e-06,-1.1706178103486576e-08,-5.143529365336802e-08,4.3850132689737685e-05,1.886186613851459e-05,-4.043242962220074e-09,-4.031004804723945e-09,-5.449199557688955e-08,5.168902016291205e-07,-1.3756229560314135e-14,-1.3652078214439537e-14,-3.534885591910517e-08,-7.297552815049461e-13,1.3779819859470505e-09,-7.914640561173805e-16,-3.839985397029358e-12,3.417697968092487e-10,5.336654599209984e-11,3.5983779405933266e-07,-1.890208192170162e-18,-1.887332306759439e-18,-1.74280566399791e-12,2.6076340890170086e-08,2.6076340965286897e-08,-7.697196336649247e-15,-7.799785937119663e-15,-1.9057493677785022e-10,2.852164643572968e-08,-2.3685744280723748e-11,-8.795850717238727e-11,4.582441937273853e-08,-3.618344446301318e-11
flux,v_pts,-3.625620637048854e-12,5.949729597887199e-10,1.1864997873090033e-10,5.230371691311575e-11,-4.075671820435306e-15,1.0034763725028154e-14,-3.275905097916412e-17,-1.430008208360247e-16,-3.9513647296675775e-13,-1.700506330771475e-13,3.6436693614591506e-17,3.623886712816401e-17,4.903031095493628e-16,3.4488864952660657e-10,-9.178539587638585e-18,-9.109056724983263e-18,-2.358641988890191e-11,-4.869432435749362e-16,9.18047667718937e-13,-5.276069980273792e-19,-2.557635276636252e-15,2.278727394742407e-13,3.557413033239704e-14,2.3980503373277293e-10,-1.260849457143054e-21,-1.2573962637219713e-21,-1.1586842318468231e-15,1.7315064560674398e-11,1.7317152140840843e-11,-5.110277886185463e-18,-5.181689883636701e-18,-1.2726332221857695e-13,1.904637596241406e-11,-1.5816712559196852e-14,-5.758220746145315e-14,2.9996683307324356e-11,-2.3683175940574284e-14
flux,v_pgi,-4.6143462021129156e-12,7.572267446085837e-10,1.5100682091487251e-10,6.656698488368381e-11,-5.187177754778067e-15,1.2490009027033011e-14,-4.0549161250957866e-17,-1.7520707107365752e-16,-3.2360258912969836e-13,-1.3985538467109379e-13,2.999731362337899e-17,2.9908244807121146e-17,4.0298871457960937e-16,4.397897665564339e-10,-1.1704191367999342e-17,-1.1615502348347667e-17,-3.007638975920529e-11,-6.210704905907248e-16,1.1710454350890074e-12,-6.729106015891429e-19,-3.263480640631611e-15,2.9066669439174733e-13,4.537734784406132e-14,3.05931703497645e-10,-1.6079087051861334e-21,-1.603832986589158e-21,-1.4793674517276922e-15,2.211151782396106e-11,2.2109604501789243e-11,-6.524979157980053e-18,-6.614724201377496e-18,-1.6223221281421895e-13,2.4279946444145502e-11,-2.016297827555556e-14,-7.379541830512483e-14,3.844320424571467e-11,-3.035272748823324e-14
flux,v_pfkB,-5.603480848875629e-12,9.195511337427206e-10,1.8337801865711546e-10,8.083654418845755e-11,-6.2991513801156844e-15,1.5820122863622186e-14,-5.125181032598026e-17,-2.2559747765847187e-16,-2.6423307986078726e-13,-1.141309269314661e-13,2.45029690981724e-17,2.42861286636753e-17,3.2916377956659915e-16,5.347303049677349e-10,-1.4230886942361874e-17,-1.4123004622563094e-17,-3.656908285233299e-11,-7.550453659779208e-16,1.4235928532824627e-12,-8.182763150997038e-19,-3.970083696989686e-15,3.5354056741118804e-13,5.51912746211918e-14,3.7210672385612193e-10,-1.955157698742514e-21,-1.950619417308745e-21,-1.8001656385084043e-15,2.691351824339545e-11,2.6902717782440074e-11,-7.940720222039647e-18,-8.04895689882977e-18,-1.9721492584225635e-13,2.9515446850164866e-11,-2.451075379664554e-14,-9.001556897392035e-14,4.68946519806999e-11,-3.702595727953656e-14
flux,v_fbaA,-5.38140216908998e-12,8.831017871199832e-10,1.7611036360329e-10,7.763260381301281e-11,-6.049457677337127e-15,1.5018027793169134e-14,-4.8844271113044253e-17,-2.143535939443531e-16,-2.6611575537781247e-13,-1.1487202052258363e-13,2.4600052404978975e-17,2.4450424060358023e-17,3.3027908037294536e-16,5.13134423840711e-10,-1.3656129873429847e-17,-1.3552685974746416e-17,-3.509281754077165e-11,-7.252883422472655e-16,1.3681977002276904e-12,-7.858394404704939e-19,-3.813055249400438e-15,3.394926234417635e-13,5.299501954565966e-14,3.5735830061161995e-10,-1.8774378095129886e-21,-1.8730463918210015e-21,-1.7285025036095338e-15,2.5844831317697996e-11,2.5844668185835176e-11,-7.624907043240583e-18,-7.730777317920956e-18,-1.8944902372576972e-13,2.8353173655318415e-11,-2.3545527352023962e-14,-8.640912597079104e-14,4.501564520214909e-11,-3.554336638271341e-14
flux,v_tpiA,-5.385482540951564e-12,8.838136748596269e-10,1.763664948499397e-10,7.770819818519804e-11,-6.054262833165688e-15,1.5619737998183336e-14,-5.067460063293288e-17,-2.224829476680522e-16,1.7318415618353005e-13,7.421785590645737e-14,-1.584103902382825e-17,-1.5910937050126736e-17,-2.1516229362466766e-16,5.162907230045459e-10,-1.3741389741966119e-17,-1.3634259123793755e-17,-3.5282162924488945e-11,-7.281501790412648e-16,1.3784529073745944e-12,-7.907052562618894e-19,-3.8303359707074755e-15,3.4114437956506505e-13,5.3279965093451354e-14,3.5909497575583316e-10,-1.8857711894279546e-21,-1.883267229878465e-21,-1.7389700970731824e-15,2.60387714108564e-11,2.6047232425481617e-11,-7.687697422189569e-18,-7.790089421751851e-18,-1.9006981667096823e-13,2.8441052246983973e-11,-2.3611223961229317e-14,-8.778967760658971e-14,4.573956162416359e-11,-3.6122299451309606e-14
flux,v_gapA,-1.939194650431195e-12,1.272173768574085e-09,9.056640795297063e-11,4.1753171043506566e-11,2.85495051556846e-15,1.8782165515493207e-14,1.5345589626644384e-17,-4.0638452690738884e-16,5.30968761081655e-13,7.770830572135865e-14,2.4608263287559504e-18,3.634694226598988e-18,-5.340016695165493e-17,3.6263834651878267e-10,-1.9890007347920738e-17,-9.0443044176191e-18,-1.9417543703772447e-11,-1.6207537741775347e-15,4.645704882803206e-13,-9.647361945915702e-19,-4.002007059078494e-15,7.016609515630989e-14,6.902811655606911e-14,5.754827725468203e-10,-1.5360743975109724e-21,-1.5757790669135177e-21,-1.183973963220054e-15,2.438825028956062e-12,1.7628010624498534e-11,2.7417331633725167e-18,-1.1354778033712129e-17,-1.6286801717123115e-13,-2.751141461573928e-12,-2.5956397898503423e-14,6.047016784885578e-14,8.708986455533587e-12,-5.315525785021008e-14
