kind,name,v_max_1,Ka1_1,Ka2_1,Ka3_1,K_g6p_1,Ks_g6p_pgi,Kp_f6p_pgi,kcat_f_2,Ks_f6p_3,Ks_atp_3,Kp_fbp_3,Kp_adp_3,kcat_f_3,Ks_fbp_4,Kp_g3p_4,Kp_dhap_4,kcat_f_4,kcat_f_5,Ks_dhap_5,Kp_g3p_5,kcat_f_6,Ks_g3p_6,Ks_pi_6,Ks_nad_6,Kp_pgp_6,Kp_nadh_6,kcat_f_7,Ks_pgp_7,Ks_adp_7,Ks_3pg_7,Ks_atp_7,kcat_f_8,Ks_3pg_8,Ks_2pg_8,kcat_f_9,Ks_2pg_9,Ks_pep_9
concentration,C_g6p,-0.000712213852905553,4.154715887660761,0.034431028160163434,0.2925585718787757,-0.0002504025610526566,0.10439577658251435,-3.8207595372106794e-05,-0.0008435637066269733,2.82946883802224,2.6754860686564284,-2.5282460620028626,-5.291765838060619,-0.006622714841533385,0.6083894339095423,-1.6412983810340042e-09,-1.6750548789888145e-09,-0.36755726491678925,-1.5022350700621788e-07,0.0008867710335531474,-1.3285724385905655e-09,-0.004060336463024013,1.9942418073326863e-05,2.7272716078898017e-05,0.5481151742977218,-6.0037933493753075e-12,-6.0145993611644384e-12,-0.002829247760231261,0.9267805900212949,0.9267806090880117,-2.1348439756628262e-07,-2.1375680247511814e-07,-0.00016184604105704537,0.17097061663003849,-1.702949769524142e-08,-0.043881822711548085,3.287984454255772,-2.3039974636174492e-05
concentration,C_f6p,-0.0002464026058616521,1.4373952671069066,0.011912005118335197,0.1012156590102905,-8.663106355779908e-05,0.0005042578807461451,-1.8455230375640117e-07,-4.074625055755157e-06,0.9789033055858748,0.9256303237774512,-0.8746901164527401,-1.8307772121939268,-0.0022912418625049046,0.21048276621191284,-5.67835343883596e-10,-5.795139837006902e-10,-0.12716274404014954,-5.1972400476348485e-08,0.0003067936583636128,-4.596424369017541e-10,-0.0014047430853565284,6.899421796422022e-06,9.435464198499162e-06,0.18962985163556345,-2.0771153499833963e-12,-2.0808538752212197e-12,-0.0009788268199294324,0.32063565109218856,0.32063565768864655,-7.385859128762711e-08,-7.395283444101805e-08,-5.5993415604253626e-05,0.059150219125267564,-5.891646998305254e-09,-0.015181669693692976,1.1375346523464296,-7.971074651496063e-06
concentration,C_fbp,-0.0017960646379750172,10.477384364566705,0.08682834779933976,0.7377757443839261,-0.0006314664946915834,0.0036756094557583415,-1.3452287384488837e-06,-2.970053806881875e-05,0.09962110301518348,0.0941996143161705,-0.08901552758098254,-0.1863146688882326,-0.00023317526901259626,1.5342396724028613,-4.13903488469749e-09,-4.2241621986793366e-09,-0.9269078427142311,-3.7883442961116586e-07,0.0022362638536849023,-3.3504009592156165e-09,-0.010239377835417975,5.0290894723680576e-05,6.877647876549041e-05,1.3822397276851424,-1.5140397627106695e-11,-1.516764828443788e-11,-0.0071348118735565305,2.337160163493493,2.3371602115760304,-5.383660759531633e-07,-5.390530280841483e-07,-0.0004081441970735127,0.4311545997163852,-4.2945076802585995e-08,-0.11066141117667866,8.291656479874813,-5.810232914602659e-05
concentration,C_dhap,-0.00046672711601572,2.722663363260551,0.022563299504903038,0.1917191275648561,-0.00016409350181307783,0.0009551474733230835,-3.495724575847259e-07,-7.718010913353254e-06,0.02588763740811913,0.024478804044459988,-0.02313166218765663,-0.04841591235199605,-6.059315380014029e-05,0.005566332755377991,-1.501671861884809e-11,-1.5325566685234794e-11,-0.0033628888490651655,-1.955142880700509e-07,0.001154123018171195,-1.729122822765428e-09,-0.0026608147534759414,1.3068641161322308e-05,1.7872323136503576e-05,0.3591901694987188,-3.934398556946429e-12,-3.941479939451723e-12,-0.0018540592017971746,0.6073367292638786,0.6073367417586517,-1.399003358106539e-07,-1.4007884786426072e-07,-0.00010606075081653007,0.1120402565853085,-1.1159749721335102e-08,-0.028756582697912675,2.1546779742896827,-1.5098528161379292e-05
concentration,C_g3p,-5.268750189772855e-05,0.3073537538235397,0.0025471069596983854,0.021642629174054663,-1.8524050545823146e-05,0.00010782389234831731,-3.9462244404433474e-08,-8.712643870262952e-07,0.0029223820478047444,0.0027633428405801556,-0.002611267812793532,-0.005465535184032867,-6.8401894732143455e-06,0.0006283675354368775,-1.6951948227955848e-12,-1.7300598060491941e-12,-0.0003796269951690593,-1.5515649943208223e-10,9.158905427428111e-07,-1.3721996838465516e-12,-0.00030037183948092267,1.475281877483012e-06,2.017555926919047e-06,0.04054796065560451,-4.4414310701534926e-13,-4.4494250422494655e-13,-0.00020929949077546096,0.06856052279287984,0.06856052420337952,-1.5792952574601283e-08,-1.5813104294611586e-08,-1.1972897691532938e-05,0.01264790715794111,-1.2597925306769937e-09,-0.0032462491539005205,0.24323549235471872,-1.704430070287123e-06
concentration,C_pgp,-3.8271314946558654e-07,0.0022325659575624848,1.850175642156038e-05,0.0001572084170929281,-1.3455558661731193e-07,7.832146133709269e-07,-2.8664710409525e-10,-6.328717922964605e-09,2.1227691524270547e-05,2.0072457480208772e-05,-1.8967810063992633e-05,-3.9700728037444265e-05,-4.968598551766224e-08,4.564356058847477e-06,-1.2313609987987255e-14,-1.2566863359909007e-14,-2.757546623332177e-06,-1.127030707805889e-12,6.652874809963978e-09,-9.967427639854223e-15,-3.0462102565550946e-08,1.4961518344243806e-10,2.046097120289224e-10,4.112156913598013e-06,-4.5042614192460025e-17,-4.51236847718912e-17,-1.5203162877561944e-06,0.0004980121027188282,0.0004980121129641734,-1.1471735044338557e-10,-1.1486372914713022e-10,-8.696911447147493e-08,9.187226966956048e-05,-9.15092099118229e-12,-2.358020769425742e-05,0.001766821693722228,-1.2380693271623369e-08
concentration,C_3pg,-8.096188450231094e-05,0.47229301489213105,0.003913994250219387,0.033256996069340995,-2.8464853841752534e-05,0.0001656868366209348,-6.063938426754905e-08,-1.3388223797423477e-06,0.0044906581126050145,0.004246271617457331,-0.004012586580359768,-0.008398576747466118,-1.0510929730327076e-05,0.0009655766167822511,-2.60490937146152e-12,-2.658484406255117e-12,-0.0005833511901274306,-2.384201591348144e-10,1.4073968525339671e-06,-2.1085811305619395e-12,-6.444171654594015e-06,3.1650668963642984e-08,4.328460596796413e-08,0.0008699151663483629,-9.52863765710419e-15,-9.545787909426713e-15,-4.490307240871098e-06,0.0014708961345012346,0.0014708961647625209,-3.3882170012794483e-10,-3.392540347406902e-10,-1.8398070228143585e-05,0.019435318844777373,-1.935851457970513e-09,-0.004988326255702637,0.373766132945747,-2.6191006504865726e-06
concentration,C_2pg,-1.4893109113280998e-05,0.08687929446637499,0.0007199874829446249,0.006117694447027335,-5.236169794771919e-06,3.047844243743387e-05,-1.115474240762035e-08,-2.462791955421454e-07,0.0008260660145537737,0.0007811106042342719,-0.0007381237496541088,-0.00154493587526292,-1.93350765385934e-06,0.0001776198516047326,-4.791785633179146e-13,-4.890338037663628e-13,-0.00010730867962536134,-4.3857890248318076e-11,2.5889361419017583e-07,-3.878779384232707e-13,-1.1854189435731032e-06,5.82220719392825e-09,7.962294400237429e-09,0.00016002272638980736,-1.7528129588427697e-15,-1.7559677838649163e-15,-8.260014709572406e-07,0.00027057444080080746,0.0002705744463674439,-6.232696510174188e-11,-6.240649396398458e-11,-4.725109969635344e-08,4.9915027879174927e-05,-4.9717774257801026e-12,-0.0009176131172774814,0.06875506709149329,-4.81789078973936e-07
concentration,C_pep,-6.232486797154374e-05,0.3635735504179632,0.003013012559994694,0.02560140369623743,-2.191238838401643e-05,0.00012754656441740303,-4.668050455576302e-08,-1.030632235993164e-06,0.0034569313168444733,0.0032688013574251676,-0.003088909434512592,-0.006465266837780573,-8.091366842629926e-06,0.0007433057606712835,-2.005272402190433e-12,-2.0465147348007706e-12,-0.000449066695050246,-1.8353704374543043e-10,1.0834212116398362e-06,-1.6231964133995542e-12,-4.960755915555548e-06,2.436484496510399e-08,3.332070848160748e-08,0.0006696650925520471,-7.335193436533028e-15,-7.3483957874696e-15,-3.45666121291987e-06,0.0011323032798483904,0.0011323033031433287,-2.6082665753196026e-10,-2.611594709023035e-10,-1.977369887680431e-07,0.00020888502850878953,-2.0805955910299166e-11,-5.3613047486106115e-05,0.0040171272701759455,-2.8149315090387406e-08
flux,v_pts,-3.58046925441613e-15,2.0975221559638157e-11,1.729727472365994e-13,1.4797052472204086e-12,-1.2732870313669764e-15,6.085038894102218e-15,-2.170310913787777e-18,-4.3438756624971515e-17,-8.46215285169785e-12,-8.045416666269311e-12,7.590101516458308e-12,1.5996331807516017e-11,1.9732505575342396e-14,3.1654931486210963e-12,-8.579611713776203e-21,-8.769091465151538e-21,-1.930587125718505e-12,-5.241904352571241e-19,3.249541040911899e-15,-5.5726474394997546e-21,-1.993849914573058e-14,9.802784749049315e-17,1.345519425349966e-16,2.7288723114565856e-12,-2.9920164136871024e-23,-2.9805048799188566e-23,-1.3869083181667076e-14,4.536016292389725e-12,4.5297407372706315e-12,-1.0400350755310554e-18,-1.0497516266600046e-18,-8.67059671774065e-16,9.017730108075842e-13,-9.117779544140873e-20,-2.158813462419644e-13,1.6069655461647277e-11,-1.130870581608013e-16
