condition,ss_residual,rank_A,cond_A,n_bound_active,rank_G
KO03,3.665306827516815e-07,9,1433067.0471280229,0,9
KO07,3.209060137408469e-06,9,942041.38948686,0,9
KO18,6.763743589491134e-08,9,961278.0966056475,0,9
KO19,5.786429273640657e-05,9,689097.7951746532,0,9
KO24,3.947245691234807e-12,9,440353.3455274009,0,9
KO13,1.3909337912700097e-05,9,475641.7940609199,0,9
KO17,3.6868536836489913e-07,9,497815.24527318095,0,9
KO15,7.823081460721197e-10,9,8628300.005763076,0,9
KO05,1.8368001300988678e-11,9,1215969461.1176453,0,9
KO23,2.4953341563217434e-05,9,3138230.7879174366,0,9
KO16,9.768932011227433e-10,9,825535.7955876822,0,9
KO14,8.371648962320547e-11,9,331321.8986408799,0,9
KO08,3.5620453567618225e-05,9,1617313.2085395204,0,9
KO22,1.851959592051787e-07,9,442861.51631475665,0,9
RF03,3.347350058356784e-07,9,354432.557637798,0,9
KO20,8.507960607777979e-10,9,84642636.95495945,0,9
KO12,1.5693548705346307e-07,9,348397.77360055153,0,9
KO21,1.0484622586264988e-08,9,672059.9412325493,0,9
KO11,1.434110132557522e-10,9,7842596.0927201295,0,9
KO10,1.111448529031269e-09,9,3660722.3107701917,0,9
KO04,0.43449734021401837,9,1223596590346.507,1,10
KO02,7.666006901460024e-06,9,460787.59363836085,0,9
