param,value
v_max_1,25.739
Ka1_1,1.0
Ka2_1,0.01
Ka3_1,1.0
K_g6p_1,0.5
Ks_g6p_pgi,1.018
Kp_f6p_pgi,0.078
Ks_f6p_3,0.013
Ks_atp_3,0.02
Kp_fbp_3,0.14
Ks_fbp_4,0.24
kcat_f_4,0.95
Ks_dhap_5,1.03
kcat_f_5,1201.2
Ks_g3p_6,0.89
Ks_nad_6,0.045
Ks_pi_6,0.53
Ks_3pg_8,0.2
Ks_2pg_8,0.19
kcat_f_8,41.602
Ks_2pg_9,0.1
kcat_f_2,4.9120773833975795
kcat_f_3,7.745052244462732
Kp_adp_3,0.17377863092195076
kcat_f_6,8.254536641226608
Kp_pgp_6,0.20988920176822956
Kp_nadh_6,0.18672834633844973
kcat_f_7,7.91344044504343
Ks_pgp_7,0.20709101305567987
Ks_adp_7,0.2567956472835494
Ks_3pg_7,0.27629674432646634
Ks_atp_7,0.25411719659499976
kcat_f_9,6.221039091379489
Ks_pep_9,0.2624927761933705
Kp_g3p_4,0.3944457974792753
Kp_dhap_4,0.12957891200816699
Kp_g3p_5,0.2260998873339554
