param,value,source
v_max_1,25.739,literature
Ka1_1,1.0,literature
Ka2_1,0.01,literature
Ka3_1,1.0,literature
K_g6p_1,0.5,literature
Ks_g6p_pgi,1.018,literature
Kp_f6p_pgi,0.078,literature
kcat_f_2,4.9120773833975795,sampled_kcat
Ks_f6p_3,0.013,literature
Ks_atp_3,0.02,literature
Kp_fbp_3,0.14,literature
Kp_adp_3,0.17377863092195076,sampled_km_linked
kcat_f_3,7.745052244462732,sampled_kcat
Ks_fbp_4,0.24,literature
Kp_g3p_4,0.3944457974792753,sampled_km_direct
Kp_dhap_4,0.12957891200816699,sampled_km_direct
kcat_f_4,0.95,literature
kcat_f_5,1201.2,literature
Ks_dhap_5,1.03,literature
Kp_g3p_5,0.2260998873339554,sampled_km_direct
kcat_f_6,8.254536641226608,sampled_kcat
Ks_g3p_6,0.89,literature
Ks_pi_6,0.53,literature
Ks_nad_6,0.045,literature
Kp_pgp_6,0.20988920176822956,sampled_km_linked
Kp_nadh_6,0.18672834633844973,sampled_km_linked
kcat_f_7,7.91344044504343,sampled_kcat
Ks_pgp_7,0.20709101305567987,sampled_km_linked
Ks_adp_7,0.2567956472835494,sampled_km_linked
Ks_3pg_7,0.27629674432646634,sampled_km_linked
Ks_atp_7,0.25411719659499976,sampled_km_linked
kcat_f_8,41.602,literature
Ks_3pg_8,0.2,literature
Ks_2pg_8,0.19,literature
kcat_f_9,6.221039091379489,sampled_kcat
Ks_2pg_9,0.1,literature
Ks_pep_9,0.2624927761933705,sampled_km_linked
