Parameter 1,Parameter 2,Correlation
v_max_1,Ka1_1,-0.9982542291058316
v_max_1,Ka2_1,-0.998178099121904
v_max_1,Ka3_1,-0.9982542288808134
v_max_1,K_g6p_1,0.9994585566585144
v_max_1,Ks_g6p_pgi,0.9967527241881771
v_max_1,Kp_f6p_pgi,-0.9997142744110364
v_max_1,kcat_f_2,0.9553663375117085
v_max_1,Ks_f6p_3,0.949352269428162
v_max_1,Ks_atp_3,0.9493522719603199
v_max_1,Kp_fbp_3,-0.9893468033356945
v_max_1,Kp_adp_3,-0.9893468033418351
v_max_1,kcat_f_3,-0.9774885586632344
v_max_1,Ks_fbp_4,0.9981150535386205
v_max_1,Kp_g3p_4,-0.9981178274004144
v_max_1,Kp_dhap_4,-0.9981178274231411
v_max_1,kcat_f_4,0.9379544481700481
v_max_1,kcat_f_5,-0.9990819787635528
v_max_1,Ks_dhap_5,0.9993524210260438
v_max_1,Kp_g3p_5,-0.9981929873503825
v_max_1,kcat_f_6,-0.9928687947716801
v_max_1,Ks_g3p_6,0.9775784963205635
v_max_1,Ks_pi_6,0.9775784962733798
v_max_1,Ks_nad_6,0.9775784963528693
v_max_1,Kp_pgp_6,-0.9937815814849336
v_max_1,Kp_nadh_6,-0.9937815814721342
v_max_1,Ks_pgp_7,-0.9983879019881338
v_max_1,Ks_adp_7,-0.9983879021256071
v_max_1,Ks_3pg_7,0.9489256566851829
v_max_1,Ks_atp_7,0.9489256516027091
v_max_1,kcat_f_8,-0.9508870305429706
v_max_1,Ks_3pg_8,0.9940933426508303
v_max_1,Ks_2pg_8,-0.9937517025851826
v_max_1,Ks_pep_9,-0.9839377495926067
Ka1_1,Ka2_1,0.9928718307788893
Ka1_1,Ka3_1,1.0
Ka1_1,K_g6p_1,-0.9965715582812777
Ka1_1,Ks_g6p_pgi,-0.9903047404964791
Ka1_1,Kp_f6p_pgi,0.9969728667943092
Ka1_1,kcat_f_2,-0.9378235685871148
Ka1_1,Ks_f6p_3,-0.9483407550809712
Ka1_1,Ks_atp_3,-0.9483407575957263
Ka1_1,Kp_fbp_3,0.9862959829828237
Ka1_1,Kp_adp_3,0.9862959829863498
Ka1_1,kcat_f_3,0.9673932243624653
Ka1_1,Ks_fbp_4,-0.9999292608855181
Ka1_1,Kp_g3p_4,0.9961102832685549
Ka1_1,Kp_dhap_4,0.996110283292597
Ka1_1,kcat_f_4,-0.9354239032492835
Ka1_1,kcat_f_5,0.9964634906346258
Ka1_1,Ks_dhap_5,-0.9970230281406497
Ka1_1,Kp_g3p_5,0.9948701274488223
Ka1_1,kcat_f_6,0.9975356490561669
Ka1_1,Ks_g3p_6,-0.9863385442403467
