,v_max_1,Ka1_1,Ka2_1,Ka3_1,K_g6p_1,Ks_g6p_pgi,Kp_f6p_pgi,kcat_f_2,Ks_f6p_3,Ks_atp_3,Kp_fbp_3,Kp_adp_3,kcat_f_3,Ks_fbp_4,Kp_g3p_4,Kp_dhap_4,kcat_f_4,kcat_f_5,Ks_dhap_5,Kp_g3p_5,kcat_f_6,Ks_g3p_6,Ks_pi_6,Ks_nad_6,Kp_pgp_6,Kp_nadh_6,kcat_f_7,Ks_pgp_7,Ks_adp_7,Ks_3pg_7,Ks_atp_7,kcat_f_8,Ks_3pg_8,Ks_2pg_8,kcat_f_9,Ks_2pg_9,Ks_pep_9
v_max_1,1.0,0.9999953638019721,0.9947234034755816,0.9999204244987823,1.009441167892806,0.0005098997088222646,0.0005171865957741871,-0.0005275541537107592,0.004066179813414212,0.003945478382721287,-0.0036847879109781854,-0.0037896793611946256,0.003958643105108224,-0.02139653073395025,0.016171890879186475,0.01617081791977764,-0.021390780393259617,0.014157681522522468,0.0124045493917459,0.012669016948136314,-0.015941705332711,-0.011933341530907832,-0.011933340912255352,-0.01193333652983256,-0.017216624158852896,-0.017216621291040325,0.014102631382485482,0.014287233562920268,0.013912292960348509,-0.0024471855451382854,-0.002407021849786202,0.1646533413009469,0.10172624536208819,-0.25934708972466414,-0.4571225848513436,-0.45594641984901063,0.46948065045330245
Ka1_1,0.9999953638019721,1.0,0.9944352678349833,0.9998795499667955,1.0094527701680516,0.0005098093360793685,0.0005170834811831098,-0.000527465112903944,0.004073171804263755,0.003952477623888723,-0.003691610649491168,-0.003796497964274163,0.003965968488254809,-0.02142440141158692,0.016198998029297723,0.01619792513261269,-0.02141864688777045,0.014176043131428999,0.012419225744612516,0.012684836853708008,-0.01596708789612156,-0.011949272053416527,-0.0119492714347943,-0.011949267052625634,-0.017234571568439397,-0.017234568700771093,0.014125987802402293,0.014310560227235227,0.0139356601656658,-0.002463325777404616,-0.0024231649269382044,0.1648620606909469,0.10185762589961159,-0.25968831791000485,-0.45808698944275955,-0.4569056373713551,0.47062384540213287
Ka2_1,0.9947234034755816,0.9944352678349833,1.0,0.9955799316958702,1.0033934171568037,0.0005161515020605361,0.0005234618321229897,-0.0005334773359323864,0.0031543298959504137,0.0030341440078650267,-0.002782394245546079,-0.0028867473391244727,0.0030333771893925054,-0.01987599490461458,0.014721232248935519,0.014720163952777868,-0.01987042999401263,0.013364292977384284,0.01173630904008139,0.011964464212698677,-0.014810854444859361,-0.01118816886836199,-0.011188168252645979,-0.011188163889370134,-0.01636126387581529,-0.016361261021463472,0.012948162031447965,0.013132831530037609,0.012758745482385994,-0.0014955672183841577,-0.001455557266649801,0.1547532737393046,0.09768112415384853,-0.23316727728328468,-0.41253620510019473,-0.4115533701749463,0.41943624690644277
Ka3_1,0.9999204244987823,0.9998795499667955,0.9955799316958702,1.0,1.0093226869372258,0.0005096100973191091,0.0005169781747062293,-0.0005272782771007142,0.004102372202887726,0.003981641044055323,-0.003721409760636621,-0.0038263213112434955,0.003993884424980113,-0.021339181888140983,0.016115812963728274,0.01611473974446046,-0.021333447014261594,0.014098265039971136,0.012359522083738868,0.012619429662959293,-0.015865358681296987,-0.01188756087540337,-0.011887560256616907,-0.011887555873137305,-0.017164559739079734,-0.017164556870633348,0.01404561723486203,0.014230308950387835,0.013855227179654601,-0.002427102924244393,-0.0023869281339840486,0.16402802463376287,0.10111132364539248,-0.2593584845236607,-0.4546229829644478,-0.45346204529204637,0.4664346723711167
K_g6p_1,1.009441167892806,1.0094527701680516,1.0033934171568037,1.0093226869372258,1.0,0.0005009903180241709,0.0005082435273296782,-0.0005194283791819724,0.005174186004271796,0.005021633368638208,-0.004797436465590452,-0.004910014370592219,0.0050692051585595095,-0.019887848868481155,0.014931888475173453,0.01493094732185551,-0.019886554130217962,0.009243893006138183,0.007415248197670104,0.007689419822341807,-0.011170501997113568,-0.007014189334461209,-0.007014188872924724,-0.007014184887791229,-0.01234018171204882,-0.012340178174339158,0.012918049152803757,0.013124231110044411,0.012705799853501568,-0.003560220459636416,-0.003548462741360104,0.16982544301401226,0.10496679652245483,-0.2674984954815696,-0.47391490473975784,-0.47268749435955426,0.487175438872929
Ks_g6p_pgi,0.0005098997088222646,0.0005098093360793685,0.0005161515020605361,0.0005096100973191091,0.0005009903180241709,1.0,0.9987842185026953,-0.9998530902425431,-0.21241669151529907,-0.2124172052931349,0.21242828121062868,0.2124273492943858,-0.21107582053182788,-0.0037233194769160562,0.0037487270925544384,0.0037487266347908674,-0.0037162963165940353,0.0026825201232693182,0.0020210373895727437,0.0022371624299853954,-0.0028305115759168576,-0.001639171478562821,-0.0016391714782309965,-0.0016391714760971663,-0.001911642671097757,-0.0019116426697902294,0.003994753133961215,0.0039945204679395305,0.0039944182869631585,0.0005646730529711593,0.0005646733810687437,-0.00021112914663617594,-0.00023156450885120555,-0.00021405334787526355,-0.00015297985160020824,-0.00015239910366285426,0.00016775869645342325
Kp_f6p_pgi,0.0005171865957741871,0.0005170834811831098,0.0005234618321229897,0.0005169781747062293,0.0005082435273296782,0.9987842185026953,1.0,-0.9994824448886439,-0.2109753444295967,-0.21097585414406872,0.2109868228280263,0.21098589931925243,-0.20970154331926588,-0.003642421355202279,0.0036707863634416913,0.0036707858947036083,-0.0036351539048981654,0.002780133181143287,0.0021059747375466163,0.0023263274855439553,-0.0029156819147997865,-0.0017021838935836722,-0.0017021838932431972,-0.0017021838910733437,-0.0019836647976506786,-0.0019836647963465542,0.003928499538563016,0.003928262330119985,0.003928166066967335,0.0005443110790270872,0.0005443115283977446,-0.00022771345697718092,-0.0002455504992136667,-0.0002044189638332098,-0.00013675750333674112,-0.0001358218659803076,0.0001753262834960658
kcat_f_2,-0.0005275541537107592,-0.000527465112903944,-0.0005334773359323864,-0.0005272782771007142,-0.0005194283791819724,-0.9998530902425431,-0.9994824448886439,1.0,0.2119732102540008,0.2119737237980093,-0.2119847736238762,-0.21198384273615575,0.21065529046752635,0.003695493319220264,-0.0037217003378281384,-0.0037216998548386497,0.0036883880522102777,-0.002712152466299243,-0.002046001107387516,-0.002263665388858251,0.002856029935162761,0.001656536980599827,0.0016565369802501828,0.0016565369780204798,0.001932252106198425,0.0019322521048652287,-0.003972063558462364,-0.003971831641207452,-0.003971726467309361,-0.000556952958354348,-0.0005569548826136576,0.00021273020878296314,0.00023363825167617506,0.00021629565936684338,0.00015925558088860107,0.00015851352905644196,-0.00018305873758291222
Ks_f6p_3,0.004066179813414212,0.004073171804263755,0.0031543298959504137,0.004102372202887726,0.005174186004271796,-0.21241669151529907,-0.2109753444295967,0.2119732102540008,1.0,1.0000000185302758,-0.9999998508860166,-0.9999999039261886,0.9999819026795023,0.03584090967103058,-0.039142057904038935,-0.03914206786472684,0.0357754750039762,-0.1630285502223023,-0.11998055185746516,-0.1340186876048749,0.14745819898390983,0.07777663727357226,0.0777766372760324,0.07777663731201201,0.09885542676324069,0.09885542679650325,-0.06922990414623405,-0.06924558640181837,-0.06925591074019179,-0.1453010905894735,-0.1452999208705512,0.02162011033553163,0.0167741789069846,-0.01893192302636712,-0.03676309945473347,-0.0369677007352904,0.019262645764185807
Ks_atp_3,0.003945478382721287,0.003952477623888723,0.0030341440078650267,0.003981641044055323,0.005021633368638208,-0.2124172052931349,-0.21097585414406872,0.2119737237980093,1.0000000185302758,1.0,-0.9999999437218755,-0.9999999941926111,0.9999819296470345,0.035840874752715454,-0.03914032104434936,-0.03914033062870238,0.035775448926269195,-0.16301993469935577,-0.11997152377737264,-0.1340097334816041,0.14744989273670597,0.07776754743507805,0.07776754743718381,0.07776754747186596,0.09884698520681649,0.09884698524080779,-0.06922855948208821,-0.06924423090252535,-0.06925457599763943,-0.1452989689918901,-0.14529785349379165,0.021595722439222552,0.016758287292395424,-0.018897301072506024,-0.03669676470625706,-0.036901533563416924,0.019194711833412613
