,v_max_1,Ka1_1,Ka2_1,Ka3_1,K_g6p_1,Ks_g6p_pgi,Kp_f6p_pgi,kcat_f_2,Ks_f6p_3,Ks_atp_3,Kp_fbp_3,Kp_adp_3,kcat_f_3,Ks_fbp_4,Kp_g3p_4,Kp_dhap_4,kcat_f_4,kcat_f_5,Ks_dhap_5,Kp_g3p_5,kcat_f_6,Ks_g3p_6,Ks_pi_6,Ks_nad_6,Kp_pgp_6,Kp_nadh_6,kcat_f_7,Ks_pgp_7,Ks_adp_7,Ks_3pg_7,Ks_atp_7,kcat_f_8,Ks_3pg_8,Ks_2pg_8,kcat_f_9,Ks_2pg_9,Ks_pep_9
v_max_1,36313.49387909823,-31774.189959618907,-31.203858127866525,-4107.535755506618,0.03658830178084839,10.393312689507624,-1.2611935144830593,-10.632305570675504,209.29817268491215,209.29817268491206,-203.22943024928168,-203.2294302492811,-254.65844900209893,-34.567864087649845,-1.6235977641574457,-1.6235977641580297,121.127150641957,-0.043442295050240415,-0.013690823645382535,-0.034047608324799396,-0.39697995356875015,-0.021892634088008463,-0.021892634087882036,-0.021892634087944993,-4.516698813016161e-07,-4.516698813021277e-07,13911.467134921271,-13783.769193206243,-13783.769193206763,108.13311208986406,108.1331120898665,383.46437841954446,-347.95751832143617,5.7413505691429485,2447.3691653122924,-2364.910792527415,22.496327308005768
Ka1_1,-31774.189959618907,27804.68659125446,27.32525982962676,3591.702640219563,-0.03201464598035994,-9.090605902222608,1.1031890973149692,9.299641255183138,-183.02525706214757,-183.02525706214746,177.71831563025677,177.71831563025626,222.69362845695693,29.97834497917164,1.4415683479141552,1.4415683479146575,-105.12549680766503,0.04224658646046641,0.009315213650701735,0.030719266938268402,0.36104196483047196,0.018286126887292198,0.01828612688718084,0.018286126887234133,4.0887035107493567e-07,4.088703510753829e-07,-12179.801251824018,12067.987599310258,12067.987599310714,-94.54477009881518,-94.5447700988173,-337.31957865070507,306.12144397938096,-5.055173106747283,-2141.1357066584587,2068.9998716685923,-19.679880597469324
Ka2_1,-31.203858127866525,27.32525982962676,0.0272329819308423,3.5047546831527296,-3.14399984518941e-05,-0.00912163764813377,0.001106400950262362,0.009331401065007816,-0.1826975822374927,-0.18269758223749274,0.1774001419376218,0.17740014193762138,0.2222728370133902,0.028445737712969887,0.00152469061099113,0.0015246906109915132,-0.10012614880963039,5.106400938204398e-05,3.3483723967825367e-06,3.239853938089801e-05,0.0003914441276445812,1.5932922326380058e-05,1.593292232627078e-05,1.5932922326325282e-05,4.3869177892079393e-10,4.386917789213433e-10,-11.753500099774381,11.645536964626642,11.645536964627048,-0.09089164881373994,-0.09089164881374183,-0.35604324680559124,0.3233970973513203,-0.005390428746452581,-2.125770547745504,2.0542059494012452,-0.01949858775555516
Ka3_1,-4107.535755506618,3591.702640219563,3.5047546831527296,467.0355271793616,-0.004138620159515593,-1.176137626028233,0.14266021944207713,1.2031843320990572,-23.732622864536047,-23.732622864536033,23.044479372136355,23.044479372136287,28.87448829100164,4.163556308086315,0.16329090312418437,0.16329090312425998,-14.512096850356585,0.0009561067589689124,0.004034005101217548,0.0029814554295783577,0.03203849275629262,0.00328806335126021,0.003288063351246556,0.0032880633512552796,3.82416618448468e-08,3.8241661844903745e-08,-1568.9424644914684,1554.5515891631387,1554.5515891632006,-12.316613141981382,-12.316613141981671,-41.445121040665,37.57132389075718,-0.6155733041291711,-276.8126827435874,267.4811961650996,-2.5463823227444884
K_g6p_1,0.03658830178084839,-0.03201464598035994,-3.14399984518941e-05,-0.004138620159515593,3.686518933329994e-08,1.04719664352561e-05,-1.2707378840610755e-06,-1.071276794907652e-05,0.00021088208702943652,0.00021088208702943646,-0.00020476741792338287,-0.00020476741792338227,-0.0002565856382783805,-3.482947946936766e-05,-1.6358839538507739e-06,-1.6358839538513628e-06,0.00012204385767773258,-4.377093314442296e-08,-1.3794509758414293e-08,-3.4305245542725353e-08,-3.999837485575693e-07,-2.2058340631803686e-08,-2.205834063167629e-08,-2.2058340631739745e-08,-4.550875561743148e-13,-4.550875561748302e-13,0.014016745866620677,-0.013888081537105228,-0.013888081537105757,0.00010895143723416636,0.00010895143723416885,0.000386366264615342,-0.0003505907041300396,5.784798467939097e-06,0.0024658899308120843,-0.002382807544109269,2.2666571019600113e-05
Ks_g6p_pgi,10.393312689507624,-9.090605902222608,-0.00912163764813377,-1.176137626028233,1.04719664352561e-05,53.524809219406464,-6.651518897703838,-54.751510556060104,109.88824427978872,109.88824427978872,-106.70196013432908,-106.70196013432911,-133.47103323932495,-45.59507359619939,-0.3029166644145352,-0.3029166644145414,155.36951253694286,0.1181869692169096,-0.0990303249053026,0.011162902028081002,0.15221833547667366,-0.03700838836259253,-0.037008388362597955,-0.037008388362581246,1.204982071774025e-07,1.2049820717738467e-07,1739.3869450451637,-1723.4718134338234,-1723.4718134338234,13.959795830068765,13.959795830068765,4.094948215526093,-3.4324596163068843,0.04590391881094038,1.1727766964006685,-1.137276800736684,0.009433837170590672
Kp_f6p_pgi,-1.2611935144830593,1.1031890973149692,0.001106400950262362,0.14266021944207713,-1.2707378840610755e-06,-6.651518897703838,0.8278647433673617,6.8039273223295105,-13.244684548506175,-13.244684548506175,12.860645940187688,12.860645940187684,16.089389088301694,5.935012614503984,0.032112280491487344,0.03211228049148805,-20.20661327484339,-0.015274878679269887,0.01268774351436015,-0.001509204504444295,-0.02097159893950236,0.004736707942533524,0.004736707942534066,0.004736707942532097,-1.7020287905970233e-08,-1.702028790596783e-08,-210.9751341398166,209.04721914000262,209.04721914000254,-1.6845653198772161,-1.684565319877216,-0.4853214018933774,0.4071801420962169,-0.0054540713713692335,-0.14177134557572327,0.13747837161901827,-0.0011409458999083876
kcat_f_2,-10.632305570675504,9.299641255183138,0.009331401065007816,1.2031843320990572,-1.071276794907652e-05,-54.751510556060104,6.8039273223295105,56.00632676457589,-112.41746255761919,-112.41746255761917,109.15784201342576,109.15784201342574,136.54297927198192,46.63300053116265,0.31000377253871225,0.3100037725387182,-158.90680446797913,-0.12088023872600094,0.10128996067298136,-0.011415544936315672,-0.1556531393481171,0.03785295708096421,0.03785295708096976,0.03785295708095266,-1.2320628490001266e-07,-1.2320628489999434e-07,-1779.386372921777,1763.10518769995,1763.1051876999493,-14.281045766407717,-14.281045766407715,-4.18941425253633,3.511632942963601,-0.046962514889079,-1.199758707371235,1.1634421083762112,-0.009650866968966882
Ks_f6p_3,209.29817268491215,-183.02525706214757,-0.1826975822374927,-23.732622864536047,0.00021088208702943652,109.88824427978872,-13.244684548506175,-112.41746255761919,2194.441794013337,2194.441794013337,-2130.812466265089,-2130.812466265089,-2667.286503688082,-881.352937937843,-1.3830423611139,-1.3830423611140379,2992.5967104443007,3.409813025478252,-2.7305006762037163,0.39767986580304937,5.835043912519942,-1.0162292477917139,-1.0162292477917676,-1.0162292477913308,5.084193497249198e-06,5.0841934972484805e-06,35056.68580660803,-34738.49301918698,-34738.49301918698,274.709009487326,274.70900948732606,73.7275023662828,-62.09362612984924,0.8362335246273401,23.733399620742595,-23.01414116374368,0.1909536658716681
Ks_atp_3,209.29817268491206,-183.02525706214746,-0.18269758223749274,-23.732622864536033,0.00021088208702943646,109.88824427978872,-13.244684548506175,-112.41746255761917,2194.441794013337,2194.4417940133367,-2130.8124662650885,-2130.8124662650885,-2667.2865036880826,-881.3529379378424,-1.3830423611138978,-1.3830423611140379,2992.596710444298,3.4098130254782575,-2.7305006762037194,0.39767986580305004,5.8350439125199465,-1.0162292477917145,-1.016229247791769,-1.016229247791332,5.084193497249201e-06,5.084193497248485e-06,35056.68580660806,-34738.49301918701,-34738.493019187,274.70900948732617,274.7090094873261,73.72750236628286,-62.09362612984927,0.8362335246273412,23.733399620742585,-23.01414116374367,0.1909536658716679
