kind,name,v_max_1,Ka1_1,Ka2_1,Ka3_1,K_g6p_1,Ks_g6p_pgi,Kp_f6p_pgi,kcat_f_2,Ks_f6p_3,Ks_atp_3,Kp_fbp_3,Kp_adp_3,kcat_f_3,Ks_fbp_4,Kp_g3p_4,Kp_dhap_4,kcat_f_4,kcat_f_5,Ks_dhap_5,Kp_g3p_5,kcat_f_6,Ks_g3p_6,Ks_pi_6,Ks_nad_6,Kp_pgp_6,Kp_nadh_6,kcat_f_7,Ks_pgp_7,Ks_adp_7,Ks_3pg_7,Ks_atp_7,kcat_f_8,Ks_3pg_8,Ks_2pg_8,kcat_f_9,Ks_2pg_9,Ks_pep_9
concentration,C_g6p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
concentration,C_f6p,-5.037793916586009e-06,0.00011364892762797448,1.1381502907016464e-05,1.4457201815478555e-05,-2.612980948616257e-10,-3.5790406625283327e-11,5.716213906506242e-11,1.7081187647725873e-12,-0.09603781724095553,-0.06242458120662111,0.008659219742452519,0.0074391936997456115,0.00020644928783320103,-0.00011911659235429169,1.0500344206982915e-06,2.1465034429543386e-06,9.75805240752652e-05,4.007090892484207e-10,-2.9569119530004804e-07,5.301256542744013e-07,2.0372336088954487e-08,-1.133177060272552e-07,-1.9028822332880713e-07,-2.241172408096315e-06,6.654057136687236e-13,7.241156083268414e-13,-0.0009223080974838303,0.02961928659445654,0.03079790699339514,-0.00018741031004562497,-0.00023487641815455178,-2.0079348348735837e-07,3.820271234680677e-05,-7.011022106658627e-07,-4.5140946036217026e-07,0.00021311259371737033,-1.2106781061959013e-07
concentration,C_fbp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
concentration,C_dhap,-0.00020950513995046603,0.004726281956378213,0.000473318956444478,0.0006012270727613325,-1.0866521108085924e-08,-1.4884043210276701e-09,2.377183797919793e-09,7.10349940853093e-11,-2.0364848276888534e-07,-1.3237151386788562e-07,1.8361901680444838e-08,1.577483266701004e-08,4.377763423498827e-10,-2.5258537600093267e-10,2.2265862352053565e-12,4.551636222709288e-12,2.0691838243880683e-10,3.3328018252297384e-08,-2.459340658457467e-05,4.4091930918845226e-05,8.472178882486162e-07,-4.712507548590976e-06,-7.91345607216255e-06,-9.320292707216882e-05,2.767201665540963e-11,3.0113566448930025e-11,-0.038355734720500044,1.2317678900649085,1.2807828032822923,-0.00779377320399454,-0.009767731207624098,-8.350334998956126e-06,0.0015887240981343172,-2.9156515569571932e-05,-1.8772622249738605e-05,0.00886264593415025,-5.0348086935093325e-06
concentration,C_g3p,-2.3677859077004416e-05,0.0005341550958977461,5.349357801826204e-05,6.794950188567433e-05,-1.2281128544883681e-09,-1.6821653049202397e-10,2.686646398282192e-10,8.028235392584529e-12,-2.301595119405993e-08,-1.4960368280688803e-08,2.0752260307796194e-09,1.7828405787229995e-09,4.947662162892621e-11,-2.854670279551463e-11,2.516443999717071e-13,5.144169805409769e-13,2.3385508961536177e-11,9.631276992036792e-17,-7.106953917227873e-14,1.2741656036326748e-13,9.575090028918121e-08,-5.32598339407036e-07,-8.943632491929855e-07,-1.0533611601609905e-05,3.1274369254053788e-12,3.40337608352882e-12,-0.00433488973932426,0.13921198555525535,0.14475155469473908,-0.0008808369267023596,-0.0011039297799131016,-9.437384466930396e-07,0.00017955447449527695,-3.2952120744915254e-06,-2.1216448638932877e-06,0.0010016388215000897,-5.690241812338207e-07
concentration,C_pgp,-8.469488260249606e-07,1.910654294860676e-05,1.9134467755339587e-06,2.4305301701428867e-06,-4.392917184583136e-11,-6.017047086299818e-12,9.610041198266324e-12,2.8716720192543547e-13,-8.232726093610598e-10,-5.35127196576561e-10,7.423011700061751e-11,6.377159053518673e-11,1.7697616342088736e-12,-1.0211056784774693e-12,9.001233127888544e-15,1.8400517500407283e-14,8.36491568564771e-13,3.4450615296029898e-18,-2.5421270441943635e-15,4.557637333359477e-15,1.7489220725638093e-16,-9.728006495401326e-16,-1.6335736594057256e-15,-1.9239973459082694e-14,5.7123356300289794e-21,6.2163621460448895e-21,-0.00015505750599021672,0.004979564552317742,0.005177713023600691,-3.150723207549272e-05,-3.948718623887007e-05,-3.375719767998585e-08,6.422601422144692e-06,-1.1786859567486524e-07,-7.589050263676337e-08,3.5828274051787756e-05,-2.0353798065461128e-08
concentration,C_3pg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
concentration,C_2pg,-0.00011380803644298141,0.0025674256453005876,0.00025711780177285277,0.0003266004481966798,-5.902945534270062e-09,-8.085356530869216e-10,1.291341220682144e-09,3.8587851674927254e-11,-1.1062649460057682e-07,-7.19072214907424e-08,9.97460327162769e-09,8.569248502787233e-09,2.378100802470893e-10,-1.3721106185641674e-10,1.2095404628177417e-12,2.4725692042036937e-12,1.1240354599372224e-10,4.615827875313775e-16,-3.4061108544175746e-13,6.10659607272073e-13,2.3467099819218284e-14,-1.3053180983357276e-13,-2.1919492980270723e-13,-2.58162913139026e-12,7.6648755140815945e-19,8.341160709311434e-19,-1.0624160885108107e-09,3.4118757862712706e-08,3.547642284715124e-08,-2.1587984297595994e-10,-2.7055653717300566e-10,-2.312959458246513e-13,4.4006072228490555e-11,-8.076063891906457e-13,-1.0197722488483705e-05,0.004814394203841225,-2.735024503020572e-06
concentration,C_pep,-0.000512069614932045,0.011551914105946318,0.001156879758767847,0.0014695110378123131,-2.655980316656205e-08,-3.6379376491403584e-09,5.810280383694445e-09,1.7362276836141345e-10,-4.977545371212365e-07,-3.235404491358185e-07,4.487988209589153e-08,3.855660741685266e-08,1.0700063022415234e-09,-6.173695475223472e-10,5.442224827834796e-12,1.1125115599057595e-11,5.057502301611436e-10,2.076850366105712e-15,-1.532549054874775e-12,2.747608178547895e-12,1.0558817060065245e-13,-5.873165042658252e-13,-9.862484763064794e-13,-1.1615815303422409e-11,3.4487439457563053e-18,3.753032578184754e-18,-4.780248562155169e-09,1.5351437605326558e-07,1.5962307068394574e-07,-9.713325380161086e-10,-1.2173455516281609e-09,-1.0406959856987467e-12,1.9800149534847362e-10,-3.6337546759251286e-12,-2.339617973288758e-12,1.1045450113305057e-09,-6.274844707108828e-13
flux,v_pts,-5.693401913114959e-10,1.2843896446401715e-08,1.2862668118118759e-09,1.6338632044532453e-09,-2.953028857583678e-14,-7.932540114802686e-08,1.266934364111447e-07,3.785852611287756e-09,-1.0853561038827229e-05,-7.054814675390656e-06,9.78607935068375e-07,8.407286339752278e-07,2.3331537629921305e-08,-1.3461771953501822e-08,1.1866796774479038e-10,2.4258366767829294e-10,1.1027907500756556e-08,4.5285819688166355e-14,-3.341730405569151e-11,5.991172526346454e-11,2.3023550146227085e-12,-1.2806463935068372e-11,-2.150519430511089e-11,-2.532833977578216e-10,7.520002356791162e-17,8.183505147661558e-17,-1.0423354420871971e-07,3.3473881734316955e-06,3.4805885465013126e-06,-2.1179951570765935e-08,-2.6544276876622245e-08,-2.2692424802333175e-11,4.317431897200957e-09,-7.923419122078472e-11,-5.1015479693039644e-11,2.408465580231932e-08,-1.3682328328265874e-11
