param,value,source
v_max_1,25.739,literature
Ka1_1,1.0,literature
Ka2_1,0.01,literature
Ka3_1,1.0,literature
K_g6p_1,0.5,literature
Ks_g6p_pgi,1.018,literature
Kp_f6p_pgi,0.078,literature
kcat_f_2,21.82018335434187,sampled_kcat
Ks_f6p_3,0.013,literature
Ks_atp_3,0.02,literature
Kp_fbp_3,0.14,literature
Kp_adp_3,0.1629599675546568,sampled_km_linked
kcat_f_3,7.3677668245852415,sampled_kcat
Ks_fbp_4,0.24,literature
Kp_g3p_4,1.696481875288688,sampled_km_direct
Kp_dhap_4,0.8298912209952622,sampled_km_direct
kcat_f_4,0.95,literature
kcat_f_5,1201.2,literature
Ks_dhap_5,1.03,literature
Kp_g3p_5,0.1970203638706809,sampled_km_direct
kcat_f_6,77.63443960193618,sampled_kcat
Ks_g3p_6,0.89,literature
Ks_pi_6,0.53,literature
Ks_nad_6,0.045,literature
Kp_pgp_6,2.373849212244337,sampled_km_linked
Kp_nadh_6,2.1813821039784544,sampled_km_linked
kcat_f_7,23.93237327590121,sampled_kcat
Ks_pgp_7,0.7383772418528678,sampled_km_linked
Ks_adp_7,0.7101199164590845,sampled_km_linked
Ks_3pg_7,0.7918776291566497,sampled_km_linked
Ks_atp_7,0.6318473057639588,sampled_km_linked
kcat_f_8,41.602,literature
Ks_3pg_8,0.2,literature
Ks_2pg_8,0.19,literature
kcat_f_9,48.78848111786532,sampled_kcat
Ks_2pg_9,0.1,literature
Ks_pep_9,1.507480927617192,sampled_km_linked
