,v_max_1,Ka2_1,Ka3_1,K_g6p_1,Ks_g6p_pgi,kcat_f_2,kcat_f_3,kcat_f_4,kcat_f_5,kcat_f_6,kcat_f_7,kcat_f_8,Ks_3pg_8,kcat_f_9,Ks_2pg_9
v_max_1,6.644504671702363e+18,5873890424628803.0,4.941260488869486e+17,-2.6048339314795075e+17,45861.59545379431,14996219.622865552,-1580610838513.4397,-9818.681269912257,-7956527872.2309,5014763404382.981,-1.689817029018602e+16,-10772257664498.809,-7014057628.213003,8677637268735.858,1285319831.4397738
Ka2_1,5873890424633858.0,5193500296754.835,436815317078245.6,-229883863006105.56,37.80247251711192,12388.511438601345,-1396845883.9680696,-7.970609560299089,-6469387.132287206,4090023259.1911607,-15304689243536.51,-9234120396.18636,-6069605.674970162,7525984354.123684,1126389.7429472518
Ka3_1,4.9412604888751277e+17,436815317078368.2,3.67463834804684e+16,-1.9177396868486616e+16,3443.4390671792526,1125790.7256438227,-117459277905.2098,-736.2663698984854,-596539872.4095852,375792311869.3718,-1251120120601228.2,-805818960930.98,-524527585.0365847,649226481402.4963,96140263.95935528
K_g6p_1,-2.6048339315554374e+17,-229883863012194.7,-1.9177396868964284e+16,6.013061791676522e+17,47158.66850640439,15051148.880279765,280407404504.5746,-6993.631711382368,-5557601884.214477,3256501841585.248,7710271229347478.0,-5886932820033.862,-3748301671.9191685,4948212214601.561,725646071.496585
Ks_g6p_pgi,44455.44712854043,36.55940960887443,3338.868847253133,47213.03644869927,73.03964594306471,23594.934899260512,302.61305404001314,4.914881423894137e-10,0.0004298512892054315,-2.9239470909901013,42064.226210662266,0.09922943040352705,4.548255657456783e-05,-0.1278373626613206,-1.7281585345023556e-05
kcat_f_2,14539120.086671727,11984.428216809662,1091797.905964449,15069125.642553622,23594.93489926053,7666111.82883072,90267.99096312339,9.859997996959789e-08,0.09066575408984213,-892.8175582619828,13766475.139364714,37.326388337717724,0.01810351310696656,-45.50573341409282,-0.006201551814674959
kcat_f_3,-1580610845534.6814,-1396845890.170881,-117459278426.76743,280407404773.07275,302.6127192684954,90267.88235306002,4012902237.1590424,-0.5124268907949141,-406271.53660814115,223627513.53488314,-479045819212.83594,7378883.891002777,5604.893637162491,-4091789.6697728625,-675.0946997385001
kcat_f_4,-8970.0681643207,-7.220420951425963,-673.158455787731,-7027.646705787319,4.953768113580114e-10,9.987611446897422e-08,-0.5126288552922018,0.33681320676005455,265596.22968508035,-5276.717538927362,13895.68779342167,-0.10413643371278655,-6.681138325262342e-05,0.08587846925976765,1.2618853157466627e-05
kcat_f_5,-7274289911.657424,-5866276.225958054,-545804573.3117113,-5584808416.147132,0.00043299089004055115,0.09169605868986853,-406433.7998751331,265596.22968508763,215587276287.89005,-4199424843.9305587,11062931261.103525,-82564.17485335257,-52.96294193758624,68106.41182477956,10.00670988731825
kcat_f_6,5014750028398.542,4090011434.5435886,375791317154.9383,3256502363089.5444,-2.9228526030270086,-892.4624959594479,223627516.75527436,-5276.7181784504655,-4199425358.532484,2595308320863.982,-7122288184491.516,45070325.54876229,28527.64967562441,-38040626.50017678,-5555.385554124493
kcat_f_7,-1.6898170255989662e+16,-15304689213349.516,-1251120118065236.0,7710271227970324.0,42060.64548021971,13765313.458956607,-479045819238.7735,13897.846026054909,11064667678.423824,-7122288218665.197,1.0519323945359392e+16,221069675588.04605,155054046.8645587,-150873658237.72775,-23241814.244041037
kcat_f_8,-10772257685925.783,-9234120415.126818,-805818962524.4275,-5886932819210.028,0.09693438430588291,36.58180999917724,7378883.883687774,-0.1027662026155806,-81461.43374812142,45070303.79963668,221069675718.65927,10048532321.340511,5715959.2495256765,-4803013466.908247,-480151.00428087095
Ks_3pg_8,-7014057642.700733,-6069605.687775351,-524527586.11392516,-3748301671.145995,4.398853337248184e-05,0.017618808923253865,5604.893634149005,-6.591920507521529e-05,-52.244931822400034,28527.635537970877,155054046.9205444,5715959.24952339,3408.54212720452,-2718755.4527883483,-295.42642391361863
kcat_f_9,8677637279409.951,7525984363.558046,649226482196.2751,4948212214128.9375,-0.12598852231836016,-44.905916448244426,-4091789.6630872353,0.08477474577792833,67218.14916209037,-38040608.99774618,-150873658310.97726,-4803013466.896477,-2718755.4527825173,2599415317.3073792,266838.7537628064
Ks_2pg_9,1285319832.6808238,1126389.7440440445,96140264.05164328,725646071.4315284,-1.7007788814246962e-05,-0.006112724256000509,-675.0946987433082,1.2455374878681835e-05,9.875144757711867,-5555.382963099498,-23241814.25257314,-480151.004278445,-295.42642391231027,266838.75376225787,32.04545861713705
