kind,name,v_max_1,Ka1_1,Ka2_1,Ka3_1,K_g6p_1,Ks_g6p_pgi,Kp_f6p_pgi,kcat_f_2,Ks_f6p_3,Ks_atp_3,Kp_fbp_3,Kp_adp_3,kcat_f_3,Ks_fbp_4,Kp_g3p_4,Kp_dhap_4,kcat_f_4,kcat_f_5,Ks_dhap_5,Kp_g3p_5,kcat_f_6,Ks_g3p_6,Ks_pi_6,Ks_nad_6,Kp_pgp_6,Kp_nadh_6,kcat_f_7,Ks_pgp_7,Ks_adp_7,Ks_3pg_7,Ks_atp_7,kcat_f_8,Ks_3pg_8,Ks_2pg_8,kcat_f_9,Ks_2pg_9,Ks_pep_9
concentration,C_g6p,-5.207097245424948e-07,1.5453594103879935e-05,1.7617472481157274e-05,1.5120588914067301e-06,-7.857526449177715e-05,0.0004180051945464179,-2.0474649721248886e-07,-1.0098663202863989e-06,0.07622167940526228,0.09994160888780329,-1.3329427419688518e-07,-1.3362310100358824e-07,-3.9944333225331947e-05,6.815601070650892e-06,-7.33206722669862e-12,-7.476734159126078e-12,-8.725522353605549e-08,-1.4858675353155684e-10,2.097870112820114e-06,-6.016176746622042e-15,-1.0395657985873417e-10,1.0249223725236214e-09,0.00011483358433696071,6.455244504619734e-09,-1.4822087769524105e-18,-1.111892581598872e-18,-7.877745115879516e-11,1.961303646091121e-07,0.00035316053816526375,-2.9924193404367256e-13,-3.339424348328221e-13,-9.118951543278055e-09,4.138044468918399e-06,-2.2031744954849275e-10,-3.495125929980927e-10,1.1971070682165907e-06,-1.9266552064799366e-10
concentration,C_f6p,-1.983090288014359e-07,5.885404273801097e-06,6.7095037657379934e-06,5.758581338363014e-07,-2.9924896069247686e-05,6.161216269416514e-08,-3.0178750555918216e-11,-1.4884993975259597e-10,0.029028547883205146,0.038062134051114395,-5.076428715914936e-08,-5.0889518783250803e-08,-1.5212548434273904e-05,2.5956788691206305e-06,-2.7923717614968173e-12,-2.8474672542743647e-12,-3.323060396363567e-08,-5.658833204194619e-11,7.989606590400096e-07,-2.291223135781927e-15,-3.9591210646141585e-11,3.9033524959484306e-10,4.373364949998396e-05,2.4584393340293437e-09,-5.644899052115592e-19,-4.234573075979366e-19,-3.000189759371584e-11,7.469501776835512e-08,0.00013449897330113057,-1.1396441150207906e-13,-1.271798793273708e-13,-3.4728954330688297e-09,1.5759482512598888e-06,-8.390651718359158e-11,-1.3310967629174227e-10,4.5591070973994674e-07,-7.337545370260643e-11
concentration,C_fbp,-8.144424734801756e-05,0.0024170978210904647,0.002755550201531608,0.0002365012454198003,-0.01228996305442196,2.530372040283787e-05,-1.2394219465494985e-08,-6.113171641442777e-08,0.0046140385082925625,0.006049911725734042,-8.06889744332863e-09,-8.088802797822572e-09,-2.4180088017980203e-06,0.0010660286760755778,-1.146809186386724e-09,-1.1694365521686723e-09,-1.3647596075905765e-05,-2.3240465478472806e-08,0.0003281280248335852,-9.409906649219485e-13,-1.6259856525633858e-08,1.603081858195077e-07,0.017961129623908813,1.00966528188839e-06,-2.3183238712886404e-16,-1.7391120288514796e-16,-1.2321587119203504e-08,3.067676522993148e-05,0.055237866590370124,-4.6804453639279494e-11,-5.223196160125717e-11,-1.4262959023674803e-06,0.0006472318491856486,-3.4459868990639214e-08,-5.46672912076086e-08,0.00018723960742837102,-3.0134828710468885e-08
concentration,C_dhap,-0.00024285589627889368,0.007207463717190016,0.008216683629905682,0.0007052152091488174,-0.036647032663489724,7.545232349392302e-05,-3.695791139315325e-08,-1.8228663489827666e-07,0.013758448188596041,0.018040030848137358,-2.4060377305826513e-08,-2.4119732421304723e-08,-7.21018014030797e-06,1.2302543200447593e-06,-1.323479365509121e-12,-1.3495925603269642e-12,-1.5750058518606147e-08,-1.38573182268765e-07,0.001956490270596973,-5.6107340467964274e-12,-4.848472615907723e-08,4.780176552150218e-07,0.05355769590894839,3.0106873715347165e-06,-6.912932956714837e-16,-5.185800400261524e-16,-3.674133141202151e-08,9.147402741690162e-05,0.16471195985187922,-1.3956464585957127e-10,-1.5574875159555773e-10,-4.253024381802356e-06,0.0019299591555275999,-1.0275473887826107e-07,-1.6301058006770532e-07,0.0005583235668772258,-8.985804490804184e-08
concentration,C_g3p,-2.7392853184855056e-05,0.0008129635659058715,0.000926798203334253,7.95445240734693e-05,-0.004133590333992683,8.51062070797602e-06,-4.1686558009236814e-09,-2.0560962710147492e-08,0.0015518797651461462,0.002034819512497177,-2.7138825666140712e-09,-2.7205775078898527e-09,-8.132699639830785e-07,1.3876614285968423e-07,-1.492814320695914e-13,-1.5222686153371126e-13,-1.7765228171372629e-09,-3.0252371967146536e-12,4.2712789251028003e-08,-1.2248979957209175e-16,-5.4688191875657874e-09,5.391784860778666e-08,0.006041023188780769,3.3958951961882e-07,-7.797420629333629e-17,-5.849306983561669e-17,-4.144226731187977e-09,1.0317783680166547e-05,0.018578632856543025,-1.5742149613848085e-11,-1.7567630646620406e-11,-4.797185255429448e-07,0.0002176891259803815,-1.1590187923244393e-08,-1.8386726267682416e-08,6.297592824161367e-05,-1.0135509449675302e-08
concentration,C_pgp,-2.183388496753896e-07,6.479848178283444e-06,7.387184249542588e-06,6.340215736920134e-07,-3.294740246526054e-05,6.783518032470614e-08,-3.3226897034934464e-11,-1.6388424075641425e-10,1.2369490701459727e-05,1.6218834476916162e-05,-2.1631408519218187e-11,-2.1684771553980774e-11,-6.48229037016744e-09,1.1060563794354662e-09,-1.1898700708426525e-15,-1.2133470588921713e-15,-1.4160041881063719e-11,-2.4113107356067487e-14,3.4044870060307293e-10,-9.763233409126373e-19,-1.6870388275122316e-14,1.6632750356610252e-13,1.8635541455499457e-08,1.047576606326142e-12,-2.405373239531968e-22,-1.804412918851038e-22,-3.3032181466287347e-11,8.223944416175384e-08,0.00014808378298764995,-1.2547516736976372e-13,-1.4002543805935716e-13,-3.8236685433309335e-09,1.7351238672600374e-06,-9.23813332479588e-11,-1.4655416270406885e-10,5.019590926408207e-07,-8.078660003696036e-11
concentration,C_3pg,-0.00032716290886711133,0.009709522525086747,0.011069091419191313,0.0009500294731880759,-0.049368987911113514,0.00010164546965211775,-4.978778766463003e-08,-2.455671311040774e-07,0.01853467014739191,0.024302596967014534,-3.2412896488931346e-08,-3.249285663210076e-08,-9.713181949883916e-06,1.6573350234705504e-06,-1.7829229855653513e-12,-1.818101331734297e-12,-2.121766465623623e-08,-3.6131519240093076e-11,5.10134533678235e-07,-1.4629406761020317e-15,-2.5278897062223436e-11,2.4922816072237786e-10,2.7923834729635202e-05,1.5697078668837358e-09,-3.6042550710762765e-19,-2.7037651820771144e-19,-1.915614257164661e-11,4.7692596889584295e-08,8.587728496628698e-05,-7.276601445796089e-14,-8.120406018443103e-14,-5.729454584192195e-06,0.002599941203782914,-1.3842587224106908e-07,-2.195994265250237e-07,0.0007521446463825863,-1.2105211282770683e-07
concentration,C_2pg,-6.117181263654974e-05,0.0018154536366963884,0.0020696612238114255,0.00017763329325533813,-0.00923084615249402,1.900532565395135e-05,-9.309151911979588e-09,-4.591531046600187e-08,0.0034655498493475468,0.004544017270770937,-6.060453606720366e-09,-6.07540428347431e-09,-1.8161378635509275e-06,3.098828925198437e-07,-3.333649045502791e-13,-3.3994243263635214e-13,-3.967207114480477e-09,-6.755749165013689e-12,9.538322834196856e-08,-2.7353569567433116e-16,-4.726562603640144e-12,4.6599837853752435e-11,5.22110409565665e-06,2.934986634937952e-10,-6.739114128094238e-20,-5.055408615064617e-20,-3.581750694935188e-12,8.917400328122248e-09,1.605704405004235e-05,-1.3605543072041997e-14,-1.5183260299459755e-14,-4.1460863044272844e-10,1.8814322476128495e-07,-1.0017107294119905e-11,-4.1059957013463934e-08,0.00014063345855257447,-2.263391406683948e-08
concentration,C_pep,-0.000276900962678575,0.008217851295110866,0.009368550000257525,0.0008040767109258413,-0.04178444410581686,8.60297045776044e-05,-4.213890377033029e-08,-2.0784072143261994e-07,0.015687193956413284,0.02056899579190752,-2.7433312266555847e-08,-2.750098815529335e-08,-8.220948523500027e-06,1.402719123811382e-06,-1.509013043662242e-12,-1.5387869506976293e-12,-1.795800098014749e-08,-3.058064442839289e-11,4.317627133767257e-07,-1.238189524746499e-15,-2.1395307435209935e-11,2.109393106391897e-10,2.3633904095981608e-05,1.3285541023943096e-09,-3.0505344095380837e-19,-2.288386521036235e-19,-1.6213189944248286e-11,4.036559706230777e-08,7.268398258262514e-05,-6.158699276139127e-14,-6.872870397069631e-14,-1.8767717382781316e-09,8.516510777958801e-07,-4.5343542050273573e-11,-7.193319874944847e-11,2.463766467782892e-07,-3.9652497427227814e-11
flux,v_pts,3.865805245362175e-13,-1.1472933714173905e-11,-1.3079495819745546e-11,-1.1225725210506354e-12,5.833561411705546e-11,-1.2011083105900562e-13,5.883289271726962e-17,2.9019966046286455e-16,-2.200662180445403e-11,-2.8855427032603302e-11,3.8484867753878116e-17,3.8580133252121376e-17,1.1532903932114618e-14,-4.935415696532455e-12,5.309350495726382e-18,5.414144422403841e-18,6.318390671034336e-14,1.1647514264314575e-16,-1.6497270767825096e-12,4.7247497957009925e-21,7.794960920343176e-17,-7.65951217314628e-16,-8.627296269241559e-11,-4.848040357731818e-15,1.1166425585644482e-24,8.341801827465578e-25,5.991111798217056e-17,-1.4956915083517767e-13,-2.6840135089133714e-10,2.277395873395235e-19,2.5456933914085066e-19,6.887416584044412e-15,-3.1260888516475295e-12,1.6640701307479477e-16,2.6649648020537474e-16,-9.126097659356373e-13,1.4677736457660245e-16
flux,v_pgi,4.291545064047146e-13,-1.2736657001271125e-11,-1.4519747460556025e-11,-1.246212783180967e-12,6.476021954157772e-11,-1.335181964989829e-13,6.537061473729788e-17,3.226585665316861e-16,-2.4410792730224428e-11,-3.2003496003786905e-11,4.26671681730401e-17,4.276725288426177e-17,1.2787987420147005e-14,-5.506441450561821e-12,5.923650715640957e-18,6.040554920912855e-18,7.04944240471086e-14,1.2852211325648327e-16,-1.819784313532095e-12,5.210454623149355e-21,8.645959417235784e-17,-8.500006391508887e-16,-9.56683002575686e-11,-5.376753122476104e-15,1.2376461037982755e-24,9.255037313127057e-25,6.637456913069932e-17,-1.655432792557208e-13,-2.9720333559868064e-10,2.5233586159310516e-19,2.8176803241759924e-19,7.63360540533756e-15,-3.4648476555238956e-12,1.8443627374366752e-16,2.9441815836624283e-16,-1.0082832553373176e-12,1.6224258775305393e-16
flux,v_pfkB,4.728104996906498e-13,-1.4032039190488097e-11,-1.599689638486154e-11,-1.3729668954653001e-12,7.134735222386277e-11,-1.4690551029437466e-13,7.195794664168559e-17,3.5492664512035414e-16,-2.6860957902385962e-11,-3.522049318860354e-11,4.697369439764492e-17,4.7090584944366014e-17,1.4076847326682795e-14,-6.091360266936573e-12,6.552913477198335e-18,6.682219762551324e-18,7.798286926645403e-14,1.4088220653534731e-16,-1.994276031414921e-12,5.707714483200563e-21,9.516568485055958e-17,-9.357002961275177e-16,-1.0531834790782463e-10,-5.919726026086992e-15,1.3620294343852664e-24,1.0188704222964463e-24,7.298651202586865e-17,-1.8191164854619647e-13,-3.2684663815392466e-10,2.7755259884798024e-19,3.096025076072207e-19,8.398346093945674e-15,-3.811806050781717e-12,2.029185346803133e-16,3.2336491155722133e-16,-1.1074683034643424e-12,1.7815203123484655e-16
