condition,ss_residual,rank_A,cond_A,n_bound_active,rank_G
KO02,2.5163272036644812e-12,9,13379983.188600026,0,8
KO03,4.774608606668942e-12,9,14056093.989599627,0,7
KO04,0.7869396694962736,9,815462111.724219,0,7
KO05,3.382734599533364e-11,9,52700763.341759115,0,8
KO07,3.537266635507136e-12,9,26359876.743540596,0,8
KO08,4.9819478912802766e-12,9,44254348.03402806,0,7
KO10,2.3684580945849594e-12,9,5062222.399976575,0,7
KO11,1.0480843526514226e-11,9,6899412.735860303,0,7
KO12,2.956443243045091e-12,9,8443211.036169732,0,8
KO13,6.4694756545736916e-12,9,9576214.169564065,0,8
KO14,1.26454389444262e-10,9,6368775.740597611,0,8
KO15,4.9183814494258417e-11,9,9994465.413193272,0,7
KO16,6.250871665509529e-05,9,10374470.042302296,0,8
KO17,4.023507375672138e-12,9,6411149.532981503,0,8
KO18,2.7059843966975524e-12,9,10908168.61647466,0,8
KO19,9.03518934199916e-12,9,16365168.936986335,0,8
KO20,1.699846734335593e-11,9,28831516.521818515,0,8
KO21,2.9110349174257123e-12,9,7669988.514941243,0,8
KO22,4.368213645010593e-12,9,7115274.042896504,0,8
KO23,2.8222040755526977e-10,9,13923752.8153603,0,8
KO24,1.4545899326116984e-11,9,11232208.718645852,0,8
RF03,1.5963994733293653e-11,9,5832530.9983904995,0,8
