,std,cv_percent,identifiable,subspace_proj,max_abs_sens
v_max_1,2463530.4248974994,168116.10315376596,True,0.7515970881976061,0.0003574719133486567
Ka1_1,45919.593883973976,167616.6865666418,True,0.7529784468057212,0.010524021671177212
Ka2_1,25001.179034262546,169549.81327510023,True,0.7457406856872816,0.013147651630576544
Ka3_1,87758.3772889608,169753.20990797883,True,0.7407917480224756,0.0010327000169805965
Ks_g6p_pgi,,,False,0.4930170424762746,0.0018226233660399993
Kp_f6p_pgi,,,False,6.983442618164304e-06,8.789408962974795e-07
kcat_f_2,10512229.688296087,105462.22001752391,True,0.5072663110159791,4.40835785267861e-06
Ks_f6p_3,,,False,0.49986537769336925,0.09560674941743665
Ks_atp_3,,,False,0.4998653776715509,0.1253592472885346
Kp_fbp_3,,,False,1.0588564257111163e-06,2.3152369842023265e-07
Kp_adp_3,,,False,1.0588564151100244e-06,2.3209484972351526e-07
kcat_f_3,94502.58066312653,946.5724778439986,True,0.9994681661657052,5.0339493918164134e-05
Ks_fbp_4,,,False,0.49865783757891735,0.0016621359240902675
Kp_g3p_4,,,False,3.765191571490038e-12,1.7537416617589664e-09
Kp_dhap_4,,,False,3.7651915714854e-12,1.7883442395362585e-09
kcat_f_4,650469.2964783099,30970.943288938757,True,0.5013457426222172,2.1289744060134146e-05
kcat_f_5,,,False,0.022519476342584596,1.756557513763729e-07
Ks_dhap_5,,,False,4.6886205284708706e-09,0.0025631044091821912
Kp_g3p_5,,,False,3.1554864288855898e-15,7.107776604455579e-12
kcat_f_6,,,False,0.0037648171040697625,7.840843804284815e-08
Ks_g3p_6,,,False,7.350809772786993e-06,1.126365029459874e-06
Ks_pi_6,,,False,7.350809772824268e-06,0.12619934655569673
Ks_nad_6,,,False,7.350809772790842e-06,7.094158412193212e-06
Kp_pgp_6,,,False,1.9773335273753618e-22,1.1175527754000381e-15
Kp_nadh_6,,,False,1.977333527372166e-22,8.383425191974846e-16
kcat_f_7,,,False,0.06204780969553101,1.511466159175145e-07
Ks_pgp_7,,,False,0.0010405426800115768,0.00045973114858025195
Ks_adp_7,,,False,0.0010405426800104262,0.8278111353126681
Ks_3pg_7,,,False,4.077972887948675e-11,5.839904822726561e-10
Ks_atp_7,,,False,4.077972887944807e-11,6.517108111262974e-10
kcat_f_8,1285085.5392919984,95657.47327424087,True,0.5584291723541519,0.00021135418961879495
Ks_3pg_8,,,False,0.44085938529894475,0.0892416613091912
Ks_2pg_8,,,False,5.332280912256823e-07,4.276822507468628e-06
kcat_f_9,,,False,0.47389055241615485,6.00567875452231e-07
Ks_2pg_9,,,False,0.4457721181497676,0.002056303827699391
Ks_pep_9,,,False,1.006775109331188e-05,3.3196838809501725e-07
