param,value,status,type,source
v_max_1,3301.7286887684886,free,free,Estimated
Ka1_1,28.729085536211073,free,free,Estimated
Ka2_1,30.534482008117234,free,free,Estimated
Ka3_1,49.43447925696631,free,free,Estimated
K_g6p_1,0.5,fixed,fixed,Literature
Ks_g6p_pgi,1.018,free,free,Estimated
Kp_f6p_pgi,51.03691412376312,free,free,Estimated
kcat_f_2,5854.523422082647,free,free,Estimated
Ks_f6p_3,0.7842685004361084,free,free,Estimated
Ks_atp_3,22.508346564758856,free,free,Estimated
Kp_fbp_3,51.295828375680784,free,free,Estimated
Kp_adp_3,50.444916706753794,free,free,Estimated
kcat_f_3,6197.134343615228,free,free,Estimated
Ks_fbp_4,63.79967182511203,free,free,Estimated
Kp_g3p_4,50.77234921060892,free,free,Estimated
Kp_dhap_4,50.87729979576813,free,free,Estimated
kcat_f_4,2572.703889797393,free,free,Estimated
kcat_f_5,5524.884015623926,free,free,Estimated
Ks_dhap_5,1.03,free,free,Estimated
Kp_g3p_5,0.6341260495962968,free,free,Estimated
kcat_f_6,5493.581666669661,free,free,Estimated
Ks_g3p_6,0.89,free,free,Estimated
Ks_pi_6,0.53,free,free,Estimated
Ks_nad_6,0.045,free,free,Estimated
Kp_pgp_6,0.5494788808501719,free,free,Estimated
Kp_nadh_6,0.5116074283387803,free,free,Estimated
kcat_f_7,2222.264843660479,free,free,Estimated
Ks_pgp_7,0.0001950957984638,free,free,Estimated
Ks_adp_7,0.0001950957984638,free,free,Estimated
Ks_3pg_7,1.2999538843037957,free,free,Estimated
Ks_atp_7,1.2665983167167822,free,free,Estimated
kcat_f_8,3933.4234865848102,free,free,Estimated
Ks_3pg_8,16.394098096612037,free,free,Estimated
Ks_2pg_8,0.19,free,free,Estimated
kcat_f_9,4237.025203709531,free,free,Estimated
Ks_2pg_9,0.1,free,free,Estimated
Ks_pep_9,50.03914313053541,free,free,Estimated
