param,alpha,theta_hat,ci_low,ci_high,profile_min_obj,n_regime_A,bounds_limited,bounds_limited_low,bounds_limited_high
K_g6p_1,0.68,11.022370183598388,6.057242942676884,6.132962089287477,82.09817612233488,11,True,True,False
K_g6p_1,0.95,11.022370183598388,6.057242942676884,7.962364440092728,82.09817612233488,11,True,True,False
Ka2_1,0.68,0.0659766745775291,0.09258711729762714,0.09818516134338728,83.03085361849115,13,False,False,False
Ka2_1,0.95,0.0659766745775291,0.07980121664509088,0.10631872840955961,83.03085361849115,13,False,False,False
Ka3_1,0.68,6.805769757611634,4.084588047574758,4.7571195796583865,82.00593927747985,12,False,False,False
Ka3_1,0.95,6.805769757611634,4.021499880473804,5.827837555137568,82.00593927747985,12,False,False,False
v_max_1,0.68,75.94770155231049,70.45288495237214,73.26893554605033,83.23777299319919,13,False,False,False
v_max_1,0.95,75.94770155231049,58.028460216518056,75.40178311838768,83.23777299319919,13,False,False,False
kcat_f_7,0.68,986.2666725575644,997.721016251614,998.3314869075853,84.31090918832919,8,False,False,False
kcat_f_7,0.95,986.2666725575644,996.4608752737175,998.8321844699958,84.31090918832919,8,False,False,False
kcat_f_6,0.68,371.19928101161986,473.36228737439444,609.3143030102588,84.65235308284079,12,False,False,False
kcat_f_6,0.95,371.19928101161986,427.2879236997629,647.7696998415729,84.65235308284079,12,False,False,False
kcat_f_3,0.68,771.2295925574713,643.715921168199,713.8144978647924,81.68326608385189,8,False,False,False
kcat_f_3,0.95,771.2295925574713,617.4945764490723,743.9412825801883,81.68326608385189,8,False,False,False
kcat_f_5,0.68,2374.9544638151383,2231.0447700073273,2331.384381692577,84.10535014851186,5,False,False,False
kcat_f_5,0.95,2374.9544638151383,2124.2669599182386,3002.885321749713,84.10535014851186,5,False,False,False
Ks_2pg_9,0.68,0.1559498072704688,0.2681671439202433,0.2715177780849986,82.89989104088835,16,False,False,False
Ks_2pg_9,0.95,0.1559498072704688,0.2599680767702812,0.2729832635454861,82.89989104088835,16,False,False,False
kcat_f_9,0.68,278.99279465555793,303.86634197740847,354.9939613433118,82.38579540436052,9,False,False,False
kcat_f_9,0.95,278.99279465555793,297.9730202964029,392.19503458978534,82.38579540436052,9,False,False,False
Ks_3pg_8,0.68,2.464532596478296,1.354361396719283,1.6305977777316365,81.98720957803087,14,True,True,False
Ks_3pg_8,0.95,2.464532596478296,1.354361396719283,1.6788586301723698,81.98720957803087,14,True,True,False
kcat_f_8,0.68,581.9153952392758,498.5257165208654,533.8777446886287,83.03153007865215,7,False,False,False
kcat_f_8,0.95,581.9153952392758,405.68444824844244,543.005691589657,83.03153007865215,7,False,False,False
Ks_g6p_pgi,0.68,6.215532234274075,4.032942379889899,4.78827885436695,83.94034501386888,13,False,False,False
Ks_g6p_pgi,0.95,6.215532234274075,3.7927728870397233,6.518048566336178,83.94034501386888,13,False,False,False
kcat_f_2,0.68,529.0556574955078,573.4183746325166,627.9074381228143,82.48698406489203,10,False,False,False
kcat_f_2,0.95,529.0556574955078,564.2205968465373,630.6631297889393,82.48698406489203,10,False,False,False
Ks_fbp_4,0.68,0.0031370096545687,0.003207644725652832,0.003414505960822058,84.31236087642894,16,False,False,False
Ks_fbp_4,0.95,0.0031370096545687,0.002691435255409027,0.0036094260936496312,84.31236087642894,16,False,False,False
kcat_f_4,0.68,3.671318695416455,3.671318695416455,3.679456877459619,83.03563295568404,3,True,True,False
kcat_f_4,0.95,3.671318695416455,3.671318695416455,3.7029306094882886,83.03563295568404,3,True,True,False
