,theta,std_err,ci_low,ci_high,cv_percent
v_max_1,63.67034614006795,181697923.7326786,-356127866.8457039,356127994.1863962,285372916.511185
Ka1_1,0.018208890314503758,56593.030000191735,-110922.32059148549,110922.35700926611,310798895.60932887
Ka2_1,0.5799971668175313,1732286.5400547849,-3395281.0385102113,3395282.1985045453,298671552.06290287
Ka3_1,0.7170046580396954,2134705.500503518,-4184022.063982237,4184023.4979915535,297725471.7340114
K_g6p_1,11.816085132969848,77298246.2519114,-151504550.8376612,151504574.46983147,654178142.6085858
Kp_f6p_pgi,6.7184736599719015,79.06205075773288,-148.24314582518454,161.68009314512832,1176.7859004758461
kcat_f_2,55.541382803181044,4.981921891640991,45.7768158955647,65.30594971079739,8.969747673181192
Ks_f6p_3,0.5241022117528368,26740520696.749958,-52411420565.10581,52411420566.154015,5102157574820.656
Ks_atp_3,0.5439114511276315,27751219294.725956,-54392389817.11896,54392389818.20679,5102157573110.921
Kp_fbp_3,3.6006619358088368,135012737388710.0,-264624965281868.0,264624965281875.2,3749664361599705.0
Kp_adp_3,3.39593126462825,127336024331843.55,-249578607690409.94,249578607690416.75,3749664360352797.5
kcat_f_3,211.41361727379947,6110648.177505317,-11976659.014293147,11977081.841527695,2890375.869020529
Ks_fbp_4,0.17808746679233892,5.77156855473911,-11.134186900496315,11.490361834080995,3240.8617286185104
Kp_g3p_4,2.9141456865559214,11268035.055875024,-22085345.79536936,22085351.623660732,386666840.57213813
Kp_dhap_4,0.0001071384851728408,414.26865758119555,-811.9664617206581,811.9666759976285,386666525.02401733
kcat_f_4,29.02153780954249,907.4177971272877,-1749.5173445599414,1807.5604201790263,3126.7047359183093
kcat_f_5,2602.2109329600003,320340.5579691301,-625265.2826865349,630469.704552455,12310.322499673173
kcat_f_6,20.953114444889344,176212.59621542838,-345355.7354677947,345397.6416966845,840985.2228836952
kcat_f_7,85.61433973555826,27761623.077875376,-54412695.618296,54412866.846975476,32426370.586544536
kcat_f_8,175.0508862416194,9523.644451113436,-18491.292237940714,18841.394010423955,5440.500562772434
Ks_3pg_8,0.00010923058219456209,4.437144323185386,-8.696693642861161,8.696912104025552,4062181.3360675136
kcat_f_9,26.066343273422024,37.07561434062594,-46.601860834204814,98.73454738104886,142.2355792361151
Ks_pep_9,3.9752389196465097,771.4989682827218,-1508.162738914488,1516.113216753781,19407.61257065087
