,v_max_1,Ka2_1,Ka3_1,K_g6p_1,Ks_g6p_pgi,kcat_f_2,Ks_f6p_3,Ks_atp_3,kcat_f_3,Ks_fbp_4,kcat_f_4,kcat_f_5,kcat_f_6,kcat_f_7,kcat_f_8,Ks_3pg_8,kcat_f_9,Ks_2pg_9
v_max_1,1.0,0.822230928405542,0.9997447224496034,0.0,2.4739121539245594e-06,2.457215322535287e-06,0.0001113222719705271,0.0,0.0,0.0034816495684037493,0.0037468555974681135,0.003744508496065919,0.0038073494754918284,0.008427286177675429,0.0,0.0,1.751344121074127e-05,2.7911496891175044e-05
Ka2_1,0.8222309428473389,1.0,0.8122782640250082,0.0,2.6399990057376965e-06,2.6216851360665257e-06,1.8040099969354274e-05,0.0,0.0,0.03916703770791037,0.042154593634348744,0.04212844013194677,0.10161798364889672,0.0,0.0,0.0,0.0,0.0
Ka3_1,0.9997447218833218,0.8122782491161034,1.0,0.0,2.5389360072164684e-06,2.5217026934553605e-06,0.00011418241244177458,0.0,0.0,0.0019547799492560755,0.002103501547526128,0.0021021728254232513,0.0,0.02211789098917353,0.0,0.0,2.2074348361858344e-05,3.3103330278253394e-05
K_g6p_1,0.0,0.0,0.0,1.0,1.2039245080637867e-06,1.1935690266353958e-06,2.002936408983944e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.22930973197120466,0.0,0.0,0.0,0.0
Ks_g6p_pgi,2.4728873090322657e-06,2.6388984324704443e-06,2.537921274265758e-06,1.204319568103682e-06,1.0,0.999850456069815,8.054021865155787e-06,0.0,0.0,0.0,0.0,0.0,0.0,9.372775887423678e-07,0.0,0.0,1.1351428662055296e-09,1.1553639154913972e-09
kcat_f_2,2.456178953571757e-06,2.620573426977755e-06,2.5206764980211618e-06,1.1939694855340505e-06,0.9998504560698152,1.0,8.142951492930215e-06,0.0,0.0,0.0,0.0,0.0,0.0,9.305246857394898e-07,0.0,0.0,1.122794238076266e-09,1.142522507333472e-09
Ks_f6p_3,0.0,0.0,0.0,6.912146347970511e-05,8.053708803861749e-06,8.142642694238365e-06,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002944265338378044,7.467606420495226e-06,7.51152911800084e-06,0.0,0.0
Ks_atp_3,1.2478348580547907e-05,0.00011513860653799167,8.349339601507578e-06,0.0,0.0,0.0,0.0,1.0,2.93642688238863e-05,0.00016386512093587112,0.00014938732919806023,0.00014864658904971016,0.00021536581430431787,0.0,0.0,0.0,8.899606617817814e-06,8.955977353675013e-06
kcat_f_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.653391299961233e-05,1.0,0.017232123874830012,0.01854832741492806,0.01853693452138398,0.07342554203151118,0.0,0.0,0.0,7.98880255519521e-05,9.710158652947004e-05
Ks_fbp_4,0.0034816998961256277,0.039167011663951465,0.001954832893861163,0.0,0.0,0.0,0.0005207866348846444,0.0,0.017232099238014213,1.0,0.9501959482286974,0.9431080986657455,0.0,0.0,2.3812975990510868e-05,2.614823042021969e-05,0.0,0.0
kcat_f_4,0.003746902922424187,0.04215456040011192,0.0021035516728367476,0.0,0.0,0.0,0.0005770350949676417,0.0,0.018548302754377542,0.9501959314621156,1.0,0.9982263390503567,0.0,0.0,2.5629295042029465e-05,2.8142662443694896e-05,0.0,0.0
kcat_f_5,0.0037445558738389974,0.042128406501094506,0.0021022230184761805,0.0,0.0,0.0,0.0005775961834012001,0.0,0.01853690989259077,0.9431080814214641,0.9982263385391085,1.0,0.0,0.0,2.56133850015911e-05,2.8125191881318895e-05,0.0,0.0
kcat_f_6,0.003807355520364561,0.10161805338432793,0.0,0.0,0.0,0.0,0.0,0.0007607830748155227,0.07342554515247139,0.0,0.0,0.0,1.0,0.0,5.8357023456759535e-05,6.419026888661455e-05,0.0,0.0
kcat_f_7,0.008427245886038647,0.0,0.022117850767394674,0.2293097423354789,9.36706791282098e-07,9.299475876758936e-07,0.00022356584758392167,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.00020190902583391545,0.0002339136532053423
kcat_f_8,0.0,0.0,0.0,0.0,0.0,0.0,1.0318841622483439e-06,0.0,0.0,2.3808922588801894e-05,2.562483547222825e-05,2.5608921996218562e-05,5.8362424662128834e-05,0.0,1.0,0.9994787514542709,0.0,0.0
Ks_3pg_8,0.0,0.0,0.0,0.0,0.0,0.0,1.0564230484480384e-06,0.0,0.0,2.614415150396219e-05,2.8138175242310498e-05,2.812070123555578e-05,6.419569751780491e-05,0.0,0.9994787514543884,1.0,0.0,0.0
kcat_f_9,1.751524876157276e-05,0.0,2.207617438370724e-05,0.0,1.1928110483097921e-09,1.1810991273811905e-09,0.0,1.739662818932399e-06,7.988735462559614e-05,0.0,0.0,0.0,0.0,0.00020191040638974157,0.0,0.0,1.0,0.9984649293789837
Ks_2pg_9,2.791327690295558e-05,0.0,3.310512724299389e-05,0.0,1.2133300095602022e-09,1.201128597613834e-09,0.0,1.7590464652950801e-06,9.710091472369889e-05,0.0,0.0,0.0,0.0,0.00023391504928682813,0.0,0.0,0.998464929379063,1.0
