,v_max_1,Ka2_1,Ka3_1,K_g6p_1,Ks_g6p_pgi,kcat_f_2,Ks_f6p_3,Ks_atp_3,kcat_f_3,Ks_fbp_4,kcat_f_4,kcat_f_5,kcat_f_6,kcat_f_7,kcat_f_8,Ks_3pg_8,kcat_f_9,Ks_2pg_9
v_max_1,1.3313362500930506e+18,598088425552280.0,1.1155723026397312e+17,0.0,103576.71556185368,7982782.3590054875,871328743991560.4,0.0,0.0,22925.9792487203,7919607.055475544,2953024130081.1855,32010081351627.99,2.4417768113818216e+16,0.0,0.0,581005697.3871025,994865.3898469347
Ka2_1,598088436057201.8,397425217639.7882,49521896320924.39,0.0,60.390059312072026,4653.454133057246,77147658861.51093,0.0,0.0,140.911810842814,48681.664259303834,18152288536.06681,466786664575.56006,0.0,0.0,0.0,0.0,0.0
Ka3_1,1.1155723020078418e+17,49521895411978.19,9352537289758854.0,0.0,8909.44110898564,686634.786513473,74906592236122.75,0.0,0.0,1078.8512260544799,372649.34264304535,138950923874.5324,0.0,5371341708889653.0,0.0,0.0,61378693.501666784,98894.86158191005
K_g6p_1,0.0,0.0,0.0,5.7431527494722125e+17,33106.1304127519,2546771.137382157,102967091622874.47,0.0,0.0,0.0,0.0,0.0,0.0,4.3638721121087245e+17,0.0,0.0,0.0,0.0
Ks_g6p_pgi,103533.80778611243,60.36488366437587,8905.880285302017,33116.99397530424,1316.642789048864,102149.49571634886,1982452.9456872991,0.0,0.0,0.0,0.0,0.0,0.0,85403.67506192208,0.0,0.0,0.0011842667343834,1.2950606198159287e-06
kcat_f_2,7979415.495791012,4651.480865107282,686355.3636121488,2547625.6142846593,102149.49571634887,7927466.052460192,155526767.05587292,0.0,0.0,0.0,0.0,0.0,0.0,6579144.70689061,0.0,0.0,0.09089340946505031,9.937320005748092e-05
Ks_f6p_3,0.0,0.0,0.0,355340091242957.7,1982375.8873809103,155520869.1376235,4.601635368174693e+19,0.0,0.0,0.0,0.0,0.0,0.0,5015420972977123.0,5637618262.808161,22419316.930409882,0.0,0.0
Ks_atp_3,296693184714870.25,1495737071788.296,16638854668998.725,0.0,0.0,0.0,0.0,4.246324276086769e+20,69847191632053.914,19270.45906567753,5639143.425180607,2093581264231.7397,32337281154274.547,0.0,0.0,0.0,5272813520.053648,5701076.65762139
kcat_f_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,182047062697043.34,1.3324360024472434e+16,11351.701090143497,3922118.691994479,1462478169471.24,61757612394192.695,0.0,0.0,0.0,265136726.91715816,346247.6391334089
Ks_fbp_4,22926.31064689371,140.91171714409114,1078.8804464033653,0.0,0.0,0.0,20161.13097456274,0.0,11351.684860584633,3.2568512166722875e-05,0.009933560315275453,3678.652211624756,0.0,0.0,0.015124143082803906,6.565672000630983e-05,0.0,0.0
kcat_f_4,7919707.084699054,48681.62587919341,372658.2226764707,0.0,0.0,0.0,7170527.869084522,0.0,3922113.4774215436,0.009933560139993868,3.3557190917312374,1249827.6290186655,0.0,0.0,5.2250157488287945,0.022682760179412148,0.0,0.0
kcat_f_5,2953061493518.143,18152274045.216164,138954241570.86655,0.0,0.0,0.0,2677988531630.922,0.0,1462476226373.671,3678.652144362356,1249827.628378558,467150258557.29926,0.0,0.0,1948289.1774836045,8457.883736590135,0.0,0.0
kcat_f_6,32010132173563.082,466786984908.3217,0.0,0.0,0.0,0.0,0.0,114231946547283.6,61757615019206.35,0.0,0.0,0.0,53093372619140.74,0.0,47322908.93885721,205791.42377575516,0.0,0.0
kcat_f_7,2.44176513702043e+16,0.0,5371331941009050.0,4.363872309345741e+17,85351.66464216111,6575064.415707955,3808341681023572.0,0.0,0.0,0.0,0.0,0.0,0.0,6.305923366114016e+18,0.0,0.0,14577904517.316803,18145428.633578297
kcat_f_8,0.0,0.0,0.0,0.0,0.0,0.0,779013872.802361,0.0,0.0,0.015121568678519324,5.224106581315364,1947949.6977519786,47327288.88722865,0.0,12385578251.445833,48940638.3266387,0.0,0.0
Ks_3pg_8,0.0,0.0,0.0,0.0,0.0,0.0,3153057.4885197,0.0,0.0,6.564647807948175e-05,0.02267914353109102,8456.533297456175,205808.8277493044,0.0,48940638.32664445,193586.84425855716,0.0,0.0
kcat_f_9,581065662.6057465,0.0,61383770.83548219,0.0,0.0012444305355503245,0.09561335725039596,0.0,1030710460.127124,265134500.2102544,0.0,0.0,0.0,0.0,14578004193.945578,0.0,0.0,826665945.552913,886819.337086309
Ks_2pg_9,994928.8358212183,0.0,98900.22994146134,0.0,1.3600354772669047e-06,0.00010447058299447838,0.0,1119750.3462701477,346245.243589005,0.0,0.0,0.0,0.0,18145536.93207486,0.0,0.0,886819.3370863794,954.2773837761354
