param_free,theta,std_err,ci_low,ci_high,cv_percent,variance,ci_crosses_zero
Kp_fbp_3,3.6006619358088368,135012737388710.0,-264624965281868.0,264624965281875.2,3749664361599705.0,1.822843925719277e+28,True
Kp_adp_3,3.39593126462825,127336024331843.56,-249578607690409.9,249578607690416.75,3749664360352797.5,1.6214463092639852e+28,True
Ks_f6p_3,0.5241022117528368,26740520696.74996,-52411420565.10581,52411420566.154015,5102157574820.656,7.150554471333128e+20,True
Ks_atp_3,0.5439114511276315,27751219294.725956,-54392389817.11896,54392389818.20679,5102157573110.921,7.701301723439702e+20,True
K_g6p_1,11.816085132969848,77298246.2519114,-151504550.8376612,151504574.46983147,654178142.6085858,5975018873621135.0,True
Kp_g3p_4,2.9141456865559214,11268035.055875024,-22085345.79536936,22085351.623660732,386666840.57213813,126968614020428.44,True
Kp_dhap_4,0.0001071384851728,414.2686575811955,-811.9664617206581,811.9666759976285,386666525.02401733,171618.52065412587,True
Ka1_1,0.0182088903145037,56593.030000191735,-110922.32059148548,110922.35700926612,310798895.60932887,3202771044.602602,True
Ka2_1,0.5799971668175313,1732286.5400547849,-3395281.0385102113,3395282.1985045453,298671552.06290287,3000816656854.978,True
Ka3_1,0.7170046580396954,2134705.500503518,-4184022.063982237,4184023.4979915535,297725471.7340114,4556967573879.976,True
v_max_1,63.67034614006795,181697923.7326786,-356127866.8457039,356127994.1863962,285372916.511185,3.301413548876629e+16,True
kcat_f_7,85.61433973555826,27761623.077875376,-54412695.618296,54412866.846975476,32426370.586544536,770707715918022.6,True
Ks_3pg_8,0.0001092305821945,4.437144323185386,-8.696693642861161,8.696912104025552,4062181.3360675136,19.688249744776297,True
kcat_f_3,211.41361727379947,6110648.177505317,-11976659.014293147,11977081.841527697,2890375.869020529,37340021149249.055,True
kcat_f_6,20.953114444889344,176212.59621542838,-345355.7354677947,345397.6416966845,840985.2228836952,31050879064.9816,True
Ks_pep_9,3.9752389196465097,771.4989682827218,-1508.162738914488,1516.113216753781,19407.61257065087,595210.6580613041,True
kcat_f_5,2602.2109329600003,320340.5579691301,-625265.2826865349,630469.704552455,12310.322499673171,102618073079.97362,True
kcat_f_8,175.0508862416194,9523.644451113436,-18491.292237940714,18841.394010423955,5440.500562772434,90699803.63122372,True
Ks_fbp_4,0.1780874667923389,5.77156855473911,-11.134186900496315,11.490361834080996,3240.8617286185104,33.311003582053296,True
kcat_f_4,29.02153780954249,907.4177971272876,-1749.5173445599414,1807.5604201790263,3126.7047359183093,823407.0585433395,True
Kp_f6p_pgi,6.7184736599719015,79.06205075773288,-148.24314582518454,161.68009314512832,1176.785900475846,6250.80787001833,True
kcat_f_9,26.066343273422024,37.07561434062594,-46.601860834204814,98.73454738104886,142.2355792361151,1374.601178734828,True
kcat_f_2,55.54138280318104,4.981921891640991,45.7768158955647,65.30594971079739,8.969747673181192,24.819545734411747,False
