kind,name,v_max_1,Ka1_1,Ka2_1,Ka3_1,K_g6p_1,Ks_g6p_pgi,Kp_f6p_pgi,kcat_f_2,Ks_f6p_3,Ks_atp_3,Kp_fbp_3,Kp_adp_3,kcat_f_3,Ks_fbp_4,Kp_g3p_4,Kp_dhap_4,kcat_f_4,kcat_f_5,Ks_dhap_5,Kp_g3p_5,kcat_f_6,Ks_g3p_6,Ks_pi_6,Ks_nad_6,Kp_pgp_6,Kp_nadh_6,kcat_f_7,Ks_pgp_7,Ks_adp_7,Ks_3pg_7,Ks_atp_7,kcat_f_8,Ks_3pg_8,Ks_2pg_8,kcat_f_9,Ks_2pg_9,Ks_pep_9
concentration,C_g6p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
concentration,C_f6p,-0.023605345354447187,1.1937506816431345,2.5377652630408893,0.0032808177956151507,-5.423131418519254e-09,-5.026756039912749e-08,1.3852743830027356e-11,9.454059841182655e-10,-0.00036890079442902026,-0.00035546543812746493,3.1577318116373806e-06,3.3481021409601604e-06,9.211720049406491e-07,0.05030214127435184,-0.003036353781724989,-82.58822459169193,-0.000320868512464868,-9.919582794569291e-09,1.7611018709533334e-05,-2.216691252504793e-06,-5.3747014302308665e-05,0.0005367127928883015,0.0009012724257959435,0.01061498634826432,-2.2155048810413897e-08,-2.3795063854273728e-08,-4.9864915586853484e-06,0.0011211131328667384,0.0011211131328694832,-1.3790368330379683e-08,-1.4153534423912318e-08,-3.316082244970709e-06,0.0012697923687039032,-3.214576966847096e-07,-4.486761270122282e-06,0.0005133173966431318,-1.8709421205643927e-06
concentration,C_fbp,-1.09065612832051,55.1557910749051,117.25434196424519,0.15158617596825452,-2.505691582767374e-07,-2.322551184125131e-06,6.400490958859706e-10,4.368132788741089e-08,-4.280043807220244e-07,-4.1241647356780684e-07,3.663649062867718e-09,3.884519649602997e-09,1.0687579430212638e-09,2.32414895120874,-0.14029101502470273,-3815.887966281141,-0.01482533740768163,-4.5832219791092096e-07,0.0008136955928048999,-0.00010241950976945156,-0.0024833150986579983,0.0247981585493422,0.04164219077164635,0.49045246908832696,-1.023646949260308e-06,-1.0994218397041295e-06,-0.00023039474727589882,0.051799661921545045,0.05179966192167043,-6.371671121723908e-07,-6.539467576112779e-07,-0.00015321552674552602,0.058669204276676504,-1.4852559944390635e-05,-0.00020730532013369017,0.023717202862988167,-8.644459375139072e-05
concentration,C_dhap,-0.4524171892645662,22.879280940911904,48.63850157997824,0.06287975639813032,-1.0393907975240039e-07,-9.634219726646232e-07,2.6550000997837906e-10,1.8119536555121015e-08,-1.77541329364055e-07,-1.7107527928883537e-07,1.519725391237391e-09,1.6113451487742235e-09,4.4333356039933545e-10,2.4233028523086155e-05,-1.4627617434153443e-06,-0.03978683060246447,-1.5457822545463182e-07,-3.804889662994912e-07,0.0006755121100353084,-8.502641499073043e-05,-0.0010301087646416495,0.010286572365486447,0.01727367812322071,0.2034455423401753,-4.246209814056933e-07,-4.5605331104767753e-07,-9.557049309793959e-05,0.021487118481136176,0.02148711848118808,-2.643045287103912e-07,-2.712649260613029e-07,-6.355563056216398e-05,0.024336686702632275,-6.161019269906752e-06,-8.59927229299116e-05,0.009838179035415767,-3.585825001721222e-05
concentration,C_g3p,-0.05109230386096622,2.583799205007438,5.492835287947286,0.007101126342744007,-1.1738031117631473e-08,-1.0880101229955618e-07,2.998340360797115e-11,2.046272532215092e-09,-2.0050068306443222e-08,-1.9319845399216925e-08,1.7162537878075654e-10,1.819721662212485e-10,5.0066472974964094e-11,2.7366804012135535e-06,-1.6519236921660525e-07,-0.004493199825640978,-1.745680279556921e-08,-5.396606980039627e-13,9.581027403191956e-10,-1.2059641500917326e-10,-0.00011633207416029055,0.0011616815042761572,0.001950748186431121,0.022975478640191047,-4.795322707120789e-08,-5.150293777016895e-08,-1.0792951261290061e-05,0.0024265797422935707,0.0024265797422994297,-2.9848395713373114e-08,-3.063444616610661e-08,-7.1774540530520895e-06,0.0027483867136022895,-6.957752183179443e-07,-9.711316090595402e-06,0.0011110436222221127,-4.049538013310396e-06
concentration,C_pgp,-5.944042523729916e-05,0.0030059737351269154,0.006390325755572969,8.261400202770794e-06,-1.3655942448382174e-11,-1.2657832880081545e-10,3.488247986148088e-14,2.3806190027409876e-12,-2.3326107771015615e-11,-2.2476571600952458e-11,1.9966775275815473e-13,2.117051321512159e-13,5.824698083120657e-14,3.1838351669408026e-09,-1.921836385732599e-10,-5.2273564318253465e-06,-2.0309117681233618e-11,-6.278374243156775e-16,1.114649961443765e-12,-1.4030100611256318e-13,-3.4018312126930313e-12,3.3970376177056366e-11,5.704460822172534e-11,6.718585654288717e-10,-1.4022679966729564e-15,-1.5060704772157964e-15,-1.2556443222502958e-08,2.823065723294419e-06,2.8230657233087316e-06,-3.472541263120521e-11,-3.563989817287365e-11,-8.350199321494848e-09,3.197453679475916e-06,-8.094599718757218e-10,-1.129807650891311e-08,1.2925802982309635e-06,-4.711203906181654e-09
concentration,C_3pg,-0.7988123129609221,40.39689861696418,85.87877487416874,0.11102390633844074,-1.8352047330255478e-07,-1.7010700579104012e-06,4.687812092348256e-10,3.1992835924096684e-08,-3.1347659485882894e-07,-3.0205978634987555e-07,2.6833095283889443e-09,2.845078338599445e-09,7.827737654007601e-10,4.2787141662445245e-05,-2.582730997670798e-06,-0.07024977318221619,-2.7293164880675345e-07,-8.437426138793571e-12,1.497963653183151e-08,-1.8854872109979786e-09,-4.5716769813393564e-08,4.565235098178497e-07,7.666150305008102e-07,9.029021506289164e-06,-1.8844897429409495e-11,-2.0239887920157024e-11,-4.24146836294793e-09,9.536091908129111e-07,9.536092824281668e-07,-1.1729969935752195e-11,-1.2038872288192171e-11,-0.00011221726639869789,0.04297017322957323,-1.0878229585377253e-05,-0.00015183341290173763,0.017370822190419428,-6.331326995232657e-05
concentration,C_2pg,-0.14623357743867335,7.395207743217457,15.721290561171527,0.020324452617545737,-3.359594601740184e-08,-3.114042635622362e-07,8.581684602273808e-11,5.856728512668731e-09,-5.738620094496193e-08,-5.5296197167991364e-08,4.912167042741612e-10,5.208307092800133e-10,1.4329750077818116e-10,7.832774324648905e-06,-4.7280440479369426e-07,-0.01286018645600214,-4.9963889340722687e-08,-1.5445868175858158e-12,2.7422283451806963e-09,-3.451643478160329e-10,-8.369083030275787e-09,8.357290277411373e-08,1.403394174310327e-07,1.652886478548841e-06,-3.449817472292828e-12,-3.705189653966575e-12,-7.764590771249572e-10,1.7457126845904083e-07,1.7457128522502855e-07,-2.147332209437197e-12,-2.203881030534866e-12,-5.163551891727614e-10,1.9772224190843109e-07,-5.005491126891461e-11,-2.7795193918637052e-05,0.0031799678481925623,-1.1590364612872352e-05
concentration,C_pep,-0.6600501768311737,33.379530639336295,70.96072459327827,0.09173788112948177,-1.516410286748018e-07,-1.405576221482998e-06,3.873489617399401e-10,2.643534240321385e-08,-2.590223992578373e-07,-2.4958881097606505e-07,2.2171903210430566e-09,2.3508581802484317e-09,6.467976943587789e-10,3.5354559251043506e-05,-2.1340831038918137e-06,-0.058046639056857675,-2.255205132735049e-07,-6.971755334776731e-12,1.2377514087715354e-08,-1.5579579956951565e-09,-3.777527982833237e-08,3.7722051234244233e-07,6.334458321509497e-07,7.460584274933209e-06,-1.557133797177406e-11,-1.672400375162222e-11,-3.504680119508435e-09,7.879571146196736e-07,7.879571903100983e-07,-9.692349186874513e-12,-9.947591909910491e-12,-2.3306569810881727e-09,8.924529726129051e-07,-2.2593135664730246e-10,-3.15345081298034e-09,3.6077735047902344e-07,-1.3149631139336528e-09
flux,v_pts,-1.1664593754789898e-07,5.898925237501906e-06,1.254038032183491e-05,1.6212178298620483e-08,-2.6798432271946457e-14,-9.882360801700258e-09,2.723382864316889e-12,1.858622731034905e-10,-1.8211412273944537e-09,-1.7548153166182995e-09,1.5588677713590756e-11,1.652847307443193e-11,4.5475215670747015e-12,2.485717282092822e-07,-1.5004365392023945e-08,-0.00040811577609124505,-1.5855953211857645e-09,-4.901719350854543e-14,8.702413869371974e-11,-1.0953730428869203e-11,-2.655913915894926e-10,2.6521715064566724e-09,4.453646957006854e-09,5.245406436841398e-08,-1.0947935633112026e-13,-1.175835480114649e-13,-2.4640793509572956e-11,5.539988784615684e-09,5.539989316781834e-09,-6.81452134838343e-14,-6.99397804681766e-14,-1.6386441973110328e-11,6.274680902473797e-09,-1.5884838891558255e-12,-2.2171361629472242e-11,2.5365625086866225e-09,-9.245275876329862e-12
