condition,ss_residual,rank_A,cond_A,n_bound_active,rank_G
KO02,1.346494540351723e-07,9,19908813.781643976,0,8
KO03,4.316138023550091e-12,9,34721611.09652781,0,8
KO04,0.6771006091191366,9,2159698137.42171,0,8
KO05,2.3661220014149094e-11,9,96449083.09731953,0,8
KO07,4.433811612224062e-12,9,25301895.928872306,0,8
KO08,5.876667591882149e-12,9,29534979.85411248,0,8
KO10,1.0889142902005038e-11,9,13879815.55999481,0,8
KO11,8.95568196012092e-10,9,29852482.77160647,0,7
KO12,2.908172955377484e-12,9,13974731.410026485,0,8
KO13,5.134767978959668e-12,9,20181489.040403087,0,8
KO14,2.4105653258292183e-12,9,12765728.209436968,0,8
KO15,1.2604875351575536e-11,9,38507160.51091287,0,8
KO16,2.4676155736470293e-11,9,18866795.687060907,0,8
KO17,8.746543609195866e-12,9,15494352.683006026,0,8
KO18,7.325468121917485e-11,9,23353376.189054467,0,8
KO19,7.386785999047436e-12,9,23514698.142663527,0,8
KO20,5.473681382164001e-11,9,68122316.12451564,0,8
KO21,2.522718982645772e-12,9,20105358.11154543,0,8
KO22,4.045880211564252e-12,9,15241213.466284823,0,8
KO23,2.8518571125499123e-10,9,19187355.26958239,0,8
KO24,3.940944369831216e-12,9,16014238.248032717,0,8
RF03,2.325363421916379e-12,9,10974789.568233922,0,8
