param,value,type,source
v_max_1,37.477952696049755,free,Estimated
Ka1_1,0.0315518766687049,free,Estimated
Ka2_1,0.2456488258012913,free,Estimated
Ka3_1,0.1766418026652911,free,Estimated
K_g6p_1,3.6846679703341194,free,Estimated
Ks_g6p_pgi,1.018,fixed,Literature
Kp_f6p_pgi,1.555306093831874,free,Estimated
kcat_f_2,28.105817829881705,free,Estimated
Ks_f6p_3,0.2051595132809265,free,Estimated
Ks_atp_3,0.1373407397074628,free,Estimated
Kp_fbp_3,0.8101273478363769,free,Estimated
Kp_adp_3,0.0664531777171971,free,Estimated
kcat_f_3,141.4890058416821,free,Estimated
Ks_fbp_4,0.0534545463346145,free,Estimated
Kp_g3p_4,0.4601449439060373,free,Estimated
Kp_dhap_4,0.0001914175093973,free,Estimated
kcat_f_4,11.882761510551202,free,Estimated
kcat_f_5,1744.0151897576916,free,Estimated
Ks_dhap_5,1.03,fixed,Literature
Kp_g3p_5,0.6341260495962968,fixed,Estimated
kcat_f_6,11.85350009904412,free,Estimated
Ks_g3p_6,0.89,fixed,Literature
Ks_pi_6,0.53,fixed,Literature
Ks_nad_6,0.045,fixed,Literature
Kp_pgp_6,0.5494788808501719,fixed,Estimated
Kp_nadh_6,0.5116074283387803,fixed,Estimated
kcat_f_7,31.535554767788145,free,Estimated
Ks_pgp_7,0.0001950957984638,fixed,Estimated
Ks_adp_7,0.0001950957984638,fixed,Estimated
Ks_3pg_7,1.2999538843037957,fixed,Estimated
Ks_atp_7,1.2665983167167822,fixed,Estimated
kcat_f_8,168.34739176645553,free,Estimated
Ks_3pg_8,0.0001008272739823,free,Estimated
Ks_2pg_8,0.19,fixed,Literature
kcat_f_9,12.53132190872762,free,Estimated
Ks_2pg_9,0.1,fixed,Literature
Ks_pep_9,0.7551069223680174,free,Estimated
