,theta,std_err,ci_low,ci_high,cv_percent
v_max_1,3593.771114042543,105528322007.73373,-206835507541.387,206835514728.92923,2936423012.455781
Ka1_1,22.04601392459968,2796258215.4548616,-5480666080.245515,5480666124.337543,12683736048.69542
Ka2_1,22.26406149972626,1089307885.8282862,-2135043433.9593794,2135043478.4875023,4892673719.220903
Ka3_1,48.70571039847657,36841954407.18792,-72210230589.38261,72210230686.79402,75641960882.5586
K_g6p_1,49.99095185442314,39945759262.27396,-78293688104.066,78293688204.0479,79905978543.0743
kcat_f_2,5046.465121708921,17253.97467582359,-28771.325242905317,38864.255486323156,341.9021881593972
Ks_f6p_3,28.85035208872554,29645870430.5185,-58105906014.96591,58105906072.66661,102757395609.40694
Ks_atp_3,0.6908185983652094,761208145170.4343,-1491967964533.3604,1491967964534.7422,110189295275459.95
kcat_f_3,7078.6338284716085,1851495942.1859643,-3628924968.0506616,3628939125.318319,26156119.76902798
Ks_fbp_4,63.34314948118918,12280.27487520229,-24005.9956059153,24132.681904877678,19386.90288655307
kcat_f_4,2926.81428678416,529239.3082159258,-1034382.2298164305,1040235.8583899988,18082.43558894979
kcat_f_5,5106.330073414601,292094.32266307063,-567398.5423462038,577611.202493033,5720.23975073251
kcat_f_6,5024.402367338251,20128182.713162754,-39446213.71543166,39456262.52016634,400608.49513184885
kcat_f_7,4880.865194747259,76949280277.8948,-150820584463.80862,150820594225.53903,1576550001.0265987
kcat_f_8,5578.0215460748295,2179780.639635213,-4266792.032138943,4277948.075231093,39078.02473744642
Ks_3pg_8,8.338174679656309,8341.167246434488,-16340.34962833194,16357.025977691254,100035.88995065648
kcat_f_9,5017.857887398465,982175.9529329963,-1920047.0098612744,1930082.7256360713,19573.61039258548
