,v_max_1,Ka2_1,Ka3_1,K_g6p_1,Ks_g6p_pgi,kcat_f_2,kcat_f_3,Ks_fbp_4,kcat_f_4,kcat_f_5,kcat_f_6,kcat_f_7,kcat_f_8,Ks_3pg_8,kcat_f_9,Ks_2pg_9
v_max_1,1.0,0.8874649579046807,0.9997828906414666,-0.30043619199347593,2.2775081897063854e-06,2.2435804368545103e-06,0.021784543831565962,0.006610131282042274,0.008534074708522856,0.008515216977266324,0.0052268826454707875,-0.20093006316173126,-0.0008597045874924466,-0.0007413848156777525,0.0002469585544035056,0.00015071714814336587
Ka2_1,0.8874649581689751,1.0,0.8798936411278221,-0.3370751982301905,-1.3374227618918004e-08,-3.1966711023832114e-08,0.030906790473171762,0.011089258008607881,0.014316680578776081,0.014285031274636189,0.008773200270308154,-0.33706956917486613,-0.002083940214284535,-0.0020463820220729435,0.0007221777356044403,0.000732819995665474
Ka3_1,0.9997828906135997,0.8798936408390642,1.0,-0.28822564814644525,2.4848513270474727e-06,2.4493765807303177e-06,0.02057852821600841,0.006037714396394204,0.0077950621400642095,0.00777783812140803,0.004774799973316673,-0.1835472462152292,-0.0007943093000382888,-0.0006757160178364436,0.00021643551381683265,0.00011927329545503195
K_g6p_1,-0.3004361929951989,-0.3370751990442718,-0.2882256491631576,1.0,7.328203409499688e-06,7.335154130287249e-06,-0.077707453198693,-0.021832378398972896,-0.02818648713813438,-0.028124185743618062,-0.017249441129387245,0.6633427151563459,0.001672760524762491,0.0015712461682744012,-0.000821994549550603,-0.0007229749424549931
Ks_g6p_pgi,2.2775081555973207e-06,-1.3374258250939857e-08,2.4848512929898334e-06,7.328203421676256e-06,1.0,0.9998736592048353,1.568815984277162e-05,-4.585993376507728e-07,-5.916280659691788e-07,-5.90313223761787e-07,-3.0954790993959554e-07,1.2975425740661606e-05,2.0626726058702697e-08,1.9298558646099177e-08,-9.498590863838534e-09,-8.224858137633979e-09
kcat_f_2,2.2435804026873523e-06,-3.1966741720621305e-08,2.449376546611961e-06,7.335154141910775e-06,0.9998736592048354,1.0,1.2872501513409638e-05,-4.587221510061769e-07,-5.917931972465685e-07,-5.904781653562219e-07,-3.103688683791433e-07,1.3018583323735174e-05,2.054961355638283e-08,1.9225077160151242e-08,-9.45839581632202e-09,-8.188243263533673e-09
kcat_f_3,0.021784544016761005,0.030906790632363554,0.020578528401743283,-0.07770745323684629,1.5688159845460943e-05,1.287250151609009e-05,1.0,0.0037499581378165623,0.004840954309761629,0.004830263497553487,0.0039018883065502032,-0.13731510588769358,-0.0002290233489748856,-0.00021703303358933346,0.00011635514985438131,0.00010414507415884141
Ks_fbp_4,0.006610173221531616,0.011089295252979048,0.006037756328088897,-0.021832390809769696,-4.585992687543376e-07,-4.5872208336424e-07,0.0037499589758683157,1.0,0.8544885259980242,0.8305786593673103,-0.4320700779186917,-0.03283457573643761,-8.338343260407593e-05,-7.966176987109473e-05,4.355877170753573e-05,3.9728159689275946e-05
kcat_f_4,0.008534114639395721,0.014316716067694324,0.0077951020595105145,-0.028186499523148847,-5.91628017251921e-07,-5.917931496874523e-07,0.004840955108785788,0.8544885259089944,1.0,0.9929335141732497,-0.5728508074449311,-0.04238917218169165,-0.00010764458589972831,-0.00010283983818337036,5.623004071629481e-05,5.128460131237069e-05
kcat_f_5,0.00851525609330338,0.01428506605003999,0.00777787722757982,-0.028124197500242327,-5.903131748447754e-07,-5.904781175708954e-07,0.004830264274993854,0.8305786592729202,0.992933514166075,1.0,-0.5734037558582318,-0.0422953335994589,-0.0001074064105250473,-0.00010261228974147357,5.61055622432447e-05,5.117105949950681e-05
kcat_f_6,0.005226859897579562,0.008773180062609473,0.004774777232478228,-0.017249433921702566,-3.0954793262201936e-07,-3.103688903917302e-07,0.003901887849077372,-0.432070078285726,-0.572850807848436,-0.5734037562564496,1.0,-0.026142530628288488,-6.649952148850411e-05,-6.351942997399924e-05,3.4616861242318085e-05,3.155306630755524e-05
kcat_f_7,-0.20093006475352265,-0.33706957053662584,-0.18354724781240736,0.663342715436399,1.29754257315064e-05,1.3018583314623346e-05,-0.13731510588183057,-0.03283456742352429,-0.042389164155016326,-0.042295325759455805,-0.026142535212992018,1.0,0.0025425533287259986,0.0024285066283193197,-0.001325276026704202,-0.0012078376478392523
kcat_f_8,-0.00085970540513192,-0.0020839409299971876,-0.0007943101180127445,0.0016727608088980275,2.062672328856208e-08,2.0549610810179996e-08,-0.00022902336082715797,-8.338340222384371e-05,-0.00010764455818276642,-0.00010740638356947598,-6.649954378206837e-05,0.0025425534578747628,1.0,0.9994058073780482,-0.9324861390095475,-0.9301885839698424
Ks_3pg_8,-0.0007413856289757641,-0.0020463827363349546,-0.0006757168314581126,0.0015712464215078164,1.9298555971473886e-08,1.9225074511337222e-08,-0.00021703304689646885,-7.966174457639295e-05,-0.00010283981535583707,-0.00010261226757505532,-6.35194496945001e-05,0.002428506761982652,0.999405807378143,1.0,-0.9315893173178683,-0.9300932787935141
kcat_f_9,0.0002469593686673116,0.0007221784494939344,0.00021643632845376194,-0.0008219948135608656,-9.498588112954109e-09,-9.458393090094796e-09,0.00011635516203321879,4.355876686222976e-05,5.623003750830951e-05,5.6105559258910645e-05,3.461686951898099e-05,-0.0013252761555383596,-0.932486139010176,-0.9315893173184038,1.0,0.999647708936224
