,v_max_1,Ka2_1,Ka3_1,K_g6p_1,Ks_g6p_pgi,kcat_f_2,kcat_f_3,Ks_fbp_4,kcat_f_4,kcat_f_5,kcat_f_6,kcat_f_7,kcat_f_8,Ks_3pg_8,kcat_f_9,Ks_2pg_9
v_max_1,2.1041462328584716e+16,31674280271220.96,3350144679085350.0,-9977644825640902.0,13494.629913241924,965567.6420310239,672524674822.3706,3252.968168558186,1134764.4813008858,848959692429.5891,294957586147.3151,-2.3142847187635544e+16,-26425235887.768223,-58166712.801178165,1608034798.3965049,1694633.0197829963
Ka2_1,31674280280653.824,60538989043.229355,5001124478271.707,-18988130720637.18,-0.1344155038395894,-23.335581986760037,1618427627.7407017,9.256607293401418,3229.023840019566,2415751013.6127963,839758652.0980024,-65852313278654.016,-108651194.8558041,-272331.05500626395,7976182.574256634,13976.226496360134
Ka3_1,3350144678991971.5,5001124476630.47,533629470399751.0,-1524369882414265.2,2344.6789483466832,167872.11555449045,101170991717.23943,473.177666086908,165063.4121438874,123490115213.3757,42909548754.81879,-3366678795324689.5,-3888133960.958854,-8442615.127947554,224430478.57676467,213568.97278792353
K_g6p_1,-9977644858908652.0,-18988130766496.035,-1524369887791461.0,5.241742280673876e+16,68532.79111781435,4982532.904470367,-3786363466920.0996,-16957.844604083046,-5915481.757730067,-4425590054366.772,-1536355510871.6936,1.2058955810620042e+17,81152755816.77652,194569578.61894038,-8447732999.803207,-12830279.418516722
Ks_g6p_pgi,13494.629711139818,-0.13441581170175299,2344.6789162102614,68532.79123168868,1668.4997415549594,121174.51738144792,136.38194221286625,-6.355185976524193e-08,-2.2152521860622597e-05,-16.57291781487429,-4.918920567870595,420841.534883034,0.17853568813324808,0.0004263642871679063,-0.017416290597296522,-2.604153170505175e-05
kcat_f_2,965567.6273265355,-23.335604395303736,167872.11321613187,4982532.912365852,121174.51738144793,8802503.345067265,8128.0776596108535,-4.617262658438138e-06,-0.001609475617499677,-1204.0938413781291,-358.2284828663563,30669078.98276944,12.919283477870747,0.030850632012579426,-1.2596618974364369,-0.0018830804432488344
kcat_f_3,672524680539.646,1618427636.0767467,101170992630.37476,-3786363468779.1514,136.38194223624535,8128.077661303371,45294303618.41847,2.7075718000947924,944.4176849367961,706555056.8290106,323054272.01439196,-23204596293852.03,-10328404.152115395,-24982.765350076075,1111580.2256744767,1718.0490712786825
Ks_fbp_4,3252.988807758531,9.256638382633675,473.18095228763354,-16957.85424391063,-6.35518502176996e-08,-4.617261977588981e-06,2.707572405190959,1.1509687660504277e-05,0.0026573535442008054,1936.7159542709878,-570.2493803176985,-88449.84693377021,-0.059943653310992585,-0.00014617550227127792,0.006633470513460661,1.0447328582889162e-05
kcat_f_4,1134769.7908555572,3229.0318442886023,165064.25745337942,-5915484.356965892,-2.2152520036486486e-05,-0.0016094754881551048,944.4178408177439,0.002657353543923934,0.8402773703939274,625582.9391137933,-204282.76385856315,-30853197.317119453,-20.90909300352355,-0.050987720098247716,2.313732467430077,0.003643957931621208
kcat_f_5,848963592264.3058,2415756894.504155,123490736109.00049,-4425591904375.867,-16.572916441539626,-1204.0937439350384,706555170.5504304,1936.7159540508922,625582.939109273,472396624294.3426,-153317873739.0104,-23082335810373.957,-15642827.809833013,-38145.70502643237,1730982.673090457,2726.1694014643153
kcat_f_6,294956302463.8003,839756717.844904,42909344390.42207,-1536354868905.0354,-4.918920928309278,-358.2285082733362,323054234.13823026,-570.2493808021133,-204282.76400245595,-153317873845.4867,151341391680.81088,-8075332152034.353,-5481874.023829775,-13365.288208062842,604505.0843069563,951.4708091180236
kcat_f_7,-2.3142847370975876e+16,-65852313544697.1,-3366678824620612.0,1.2058955815711147e+17,420841.5345860965,30669078.961303867,-23204596292861.254,-88449.82454042739,-30853191.474858686,-23082331531755.758,-8075333568232.515,6.304749196724221e+17,427794943966.21466,1042956212.2077637,-47236059230.1816,-74339135.58630748
kcat_f_8,-26425261020.02443,-108651232.17119077,-3888137964.9334526,81152769601.40466,0.17853566415615352,12.919281751367581,-10328404.686624473,-0.05994363147089736,-20.909087619727153,-15642823.883983906,-5481875.86159504,427794965696.0197,44901757313.6181,114542435.29672211,-8869670022.282354,-15278394.208509512
Ks_3pg_8,-58166776.60997335,-272331.1500597412,-8442625.293600624,194569609.9771832,0.00042636422807723916,0.030850627762006807,-24982.766881866122,-0.00014617545585672117,-0.05098770878041701,-38145.69678615575,-13365.29235750464,1042956269.6113552,114542435.29673298,292540.3314999818,-22617822.078693498,-38993.69744616481
kcat_f_9,1608040100.3571448,7976190.458898688,224431323.30576816,-8447735713.067193,-0.01741628555336914,-1.259661534359587,1111580.3420230434,0.006633469775579564,2.31373233542911,1730982.5810170453,604505.2288401296,-47236063822.144165,-8869670022.288332,-22617822.0787065,2014961804.4495535,3478206.9702329426
Ks_2pg_9,1694642.077263293,13976.239979276626,213570.4157591893,-12830284.032466535,-2.6041523229403797e-05,-0.001883079833398485,1718.049282685418,1.0447328378298611e-05,0.0036439579800410767,2726.169445338043,951.4709951125368,-74339143.66432853,-15278394.208521092,-38993.69744619049,3478206.9702332127,6008.278761603371
