kind,name,v_max_1,Ka1_1,Ka2_1,Ka3_1,K_g6p_1,Ks_g6p_pgi,Kp_f6p_pgi,kcat_f_2,Ks_f6p_3,Ks_atp_3,Kp_fbp_3,Kp_adp_3,kcat_f_3,Ks_fbp_4,Kp_g3p_4,Kp_dhap_4,kcat_f_4,kcat_f_5,Ks_dhap_5,Kp_g3p_5,kcat_f_6,Ks_g3p_6,Ks_pi_6,Ks_nad_6,Kp_pgp_6,Kp_nadh_6,kcat_f_7,Ks_pgp_7,Ks_adp_7,Ks_3pg_7,Ks_atp_7,kcat_f_8,Ks_3pg_8,Ks_2pg_8,kcat_f_9,Ks_2pg_9,Ks_pep_9
concentration,C_g6p,-0.00016190585215172722,0.015459685202366135,0.0070739888517309625,0.000952821863522507,-1.99445862334804e-08,0.01512420855135161,-7.0723706342845e-06,-0.0002018943657268159,0.02003948978192932,0.006596843528403685,-3.4747325311945685e-06,-3.4642151508684187e-06,-1.773106216376989e-05,0.007078729531101922,-8.939783416627094e-10,-8.872098410809901e-10,-0.0007756119388961065,-1.928350601025574e-09,9.250833568649621e-06,-6.6414637237890455e-12,-5.730787984523672e-08,3.0187646532708136e-06,4.7137296814229337e-07,0.003178354659277447,-4.0302657915389553e-14,-4.02413400175158e-14,-3.48486890965522e-08,0.0008700562082674218,0.0008700562082647665,-1.518349789242614e-10,-1.5385866015150247e-10,-5.926443674087307e-07,0.00022068098641217577,-2.2089078569227288e-07,-7.863208736877727e-07,0.00043756436080044707,-7.201538681806789e-07
concentration,C_f6p,-6.053693319592324e-05,0.005780408292151101,0.0026449790718165484,0.0003562620667078939,-7.45732206952628e-09,4.040354240987066e-08,-1.8893473062802877e-11,-5.393503759385674e-10,0.007492806726073374,0.002466573455630063,-1.2992096886876942e-06,-1.295277218404971e-06,-6.629680859485902e-06,0.002646751621630773,-3.342603521016638e-10,-3.3172959572625605e-10,-0.00029000290913924553,-7.210142806360556e-10,3.458905816832707e-06,-2.483257031478597e-12,-2.1427534877849007e-08,1.1287223514589993e-06,1.7624732833634498e-07,0.0011883933849888772,-1.506924720444093e-14,-1.5046320315548852e-14,-1.3029996975592154e-08,0.00032531581692784277,0.00032531581692761975,-5.6771412855405814e-11,-5.752807145460558e-11,-2.2159095550525127e-07,8.251307753879956e-05,-8.259152192381108e-08,-2.940070020186023e-07,0.00016360622007366522,-2.692670217222025e-07
concentration,C_fbp,-0.01234403117935855,1.1786778156865891,0.5393352852148288,0.0726450751185577,-1.5206157841334132e-06,8.238649712357455e-06,-3.852550967815848e-09,-1.0997844630850658e-07,1.0916163736471242e-05,3.593515847217552e-06,-1.8928001493312828e-09,-1.8870709891145353e-09,-9.658687916270043e-09,0.5396967242406249,-6.815872543477802e-08,-6.764268119606088e-08,-0.05913423035376013,-1.4702136846276535e-07,0.0007053023500807801,-5.063586905524471e-10,-4.3692692157706565e-06,0.00023015675165138927,3.593843297662064e-05,0.24232421801467616,-3.0727565392158355e-12,-3.0680815380826313e-12,-2.656934873356095e-06,0.0663348533747867,0.06633485337476026,-1.157620733970705e-08,-1.1730496908863858e-08,-4.5184410894777316e-05,0.01682516685396709,-1.684116237741523e-05,-5.995070130354976e-05,0.03336079604804186,-5.4905994344797456e-05
concentration,C_dhap,-0.009440006623735633,0.9013851492806939,0.4124526737550656,0.05555478435988467,-1.1628796837762274e-06,6.30044648505324e-06,-2.946209882821836e-09,-8.410520408901339e-08,8.34805554725544e-06,2.7481146881431214e-06,-1.447504926441905e-09,-1.443123593519623e-09,-7.38641020644855e-09,2.9490134070719424e-06,-3.7243323164045293e-13,-3.6961346015941214e-13,-3.231215427654419e-07,-2.2486645007780118e-07,0.001078746833555379,-7.744662044780491e-10,-3.3413663444700713e-06,0.00017601067499908754,2.7483651038859603e-05,0.18531565498452315,-2.349867856122648e-12,-2.3462926835537443e-12,-2.031871310020449e-06,0.050729088913040454,0.05072908891302363,-8.852819016480944e-09,-8.970810824315787e-09,-3.4554444325286486e-05,0.012866922015935006,-1.287915447428724e-05,-4.584685579450474e-05,0.025512422246074484,-4.19889534274852e-05
concentration,C_g3p,-0.0010657211726899116,0.10176107672650657,0.04656347867893698,0.00627180809255855,-1.3128227020256602e-07,7.112833162256133e-07,-3.32609750867911e-10,-9.49498239818157e-09,9.424463246803636e-07,3.1024596961290214e-07,-1.634147844560514e-10,-1.6292015776287843e-10,-8.338822270938966e-10,3.3292624324210106e-07,-4.2045518128249636e-14,-4.1727182537541816e-14,-3.647851891286267e-08,-9.069394414428029e-14,4.3508404643543623e-10,-3.1236051577336947e-16,-3.7722058902603727e-07,1.987056899878969e-05,3.1027424007614797e-06,0.020921046458943243,-2.652862468334101e-13,-2.6488263089810764e-13,-2.2938630888513905e-07,0.005727015486404633,0.005727015486402734,-9.9943114871694e-10,-1.0127517291810874e-09,-3.900993335682628e-06,0.001452599745560932,-1.4539807180940701e-06,-5.175840109964863e-06,0.002880202275058077,-4.740305644939642e-06
concentration,C_pgp,-1.299924371960594e-06,0.00012412412096478957,5.679628248842057e-05,7.650102488998279e-06,-1.6013290062732655e-10,8.675951475880542e-10,-4.057041678187065e-13,-1.1581602530476379e-11,1.1495586069127046e-09,3.784257153863076e-10,-1.9932686567954445e-13,-1.9872353967856165e-13,-1.0171364312345005e-12,4.0609030096077094e-10,-5.1285452140549553e-17,-5.089715651689229e-17,-4.4495052517273365e-11,-1.1062473842549268e-16,5.306976708850826e-13,-3.8100443275752514e-19,-3.2876174714617333e-15,1.7317937419904793e-13,2.7041550575504694e-14,1.8233469815885222e-10,-2.312068748118519e-21,-2.3085504126617843e-21,-2.7979631178949556e-10,6.985586099024261e-06,6.9855860990249165e-06,-1.2190664327645977e-12,-1.2353143479213272e-12,-4.758276781822563e-09,1.7718234941220717e-06,-1.7735079495878748e-09,-6.31328425926468e-09,3.513156376612078e-06,-5.782036611735027e-09
concentration,C_3pg,-0.003979071931962851,0.37994426173099655,0.1738535705340808,0.023416983900927453,-4.901672312739055e-07,2.6557110356749097e-06,-1.2418615280338424e-09,-3.545131590066757e-08,3.518801928680705e-06,1.158362113205178e-06,-6.101400617312122e-10,-6.082932792501759e-10,-3.1134572995290626e-09,1.2430429263165985e-06,-1.5698487263464717e-13,-1.5579630665347273e-13,-1.3619943100702552e-07,-3.3862294877770283e-13,1.6244683603000097e-09,-1.1662569080659037e-15,-1.0063404055971497e-11,5.301024588190345e-10,8.277424767809752e-11,5.581268642036733e-07,-7.07724564988982e-18,-7.066477908101421e-18,-6.11951544721052e-12,1.5278401054435397e-07,1.527840049575983e-07,-2.666259583558741e-14,-2.7017958180346127e-14,-1.4565097782199721e-05,0.005423556389847343,-5.428712512467625e-06,-1.932497977299832e-05,0.010753780937027235,-1.7698829322397714e-05
concentration,C_2pg,-0.0007417729395740793,0.07082866977965845,0.0324095357599879,0.004365360888457545,-9.1376279253533e-08,4.950738803618408e-07,-2.3150606270669416e-10,-6.608783972016061e-09,6.559700590736593e-07,2.159402203443722e-07,-1.1374144394846667e-10,-1.1339716938084915e-10,-5.804062888700595e-10,2.3172561569251897e-07,-2.926481097105864e-14,-2.904324084124894e-14,-2.539002985187481e-08,-6.312542626763927e-14,3.0283020704887764e-10,-2.174113258784534e-16,-1.876000020930746e-12,9.882065937200896e-11,1.5430612694643424e-11,1.0404491393222009e-07,-1.319326233607074e-18,-1.3173189339120087e-18,-1.1407880491743313e-12,2.8481695119077158e-08,2.8481694127348725e-08,-4.9703887380790426e-15,-5.036634697220305e-15,-1.940048652987989e-11,7.224093779469458e-09,-7.230961675629796e-12,-3.6025352892664467e-06,0.0020047045727215576,-3.2993906312766517e-06
concentration,C_pep,-0.0033498688373156927,0.31986439653573595,0.14636243529804588,0.019714100668430067,-4.1265801704363347e-07,2.2357684885984676e-06,-1.045488320936678e-09,-2.9845466583267936e-08,2.9623804560993752e-06,9.751925100622395e-07,-5.136597714187892e-10,-5.121050171487335e-10,-2.621132204072951e-09,1.0464787860932615e-06,-1.3216063214797592e-13,-1.3116001580085275e-13,-1.1466202188312475e-07,-2.8507603850329205e-13,1.3675889552079702e-09,-9.81835103191078e-16,-8.472063991239038e-12,4.4627662083517937e-10,6.968504088975588e-11,4.698694876126515e-07,-5.958110951403313e-18,-5.949045938772138e-18,-5.151827950250964e-12,1.2862406214724433e-07,1.2862405776296728e-07,-2.2446402416540617e-14,-2.2745570878079363e-14,-8.76130926461442e-11,3.262419200025266e-08,-3.2655207601138646e-11,-1.1624517844886733e-10,6.46870116002241e-08,-1.0646342691685568e-10
flux,v_pts,-1.3934187137465415e-11,1.3305152535281195e-09,6.088134441029069e-10,8.200318202256085e-11,-1.716497021017789e-15,9.220992505571113e-15,-4.332950681730299e-18,-1.23211975637897e-16,4.778671253710111e-14,1.5922709275881308e-14,-8.377386686710347e-18,-8.122512312329039e-18,-4.274728196904587e-17,6.103157692509968e-10,-7.707701790091375e-17,-7.649308506898005e-17,-6.687209324451569e-11,-1.6314213773508376e-16,7.826201365895905e-13,-5.627782971920903e-19,-4.888056788573505e-15,2.5741013807266126e-13,4.0205703560441305e-14,2.711133511943619e-10,-3.439635199033732e-21,-3.43282181489724e-21,-2.975177075301696e-15,7.430115723271961e-11,7.424812134397044e-11,-1.2966566489590432e-17,-1.3129336642783683e-17,-5.0461059794964264e-14,1.8788431524092304e-11,-1.8807466795844406e-14,-6.7904869201728e-14,3.779126562297619e-11,-6.219009586291354e-14
flux,v_pgi,-1.1471283866766196e-11,1.095345774170933e-09,5.012033012747046e-10,6.750894170798985e-11,-1.4131048631552789e-15,7.549516567451064e-15,-3.604972223514302e-18,-1.0061396160665481e-16,3.998169089731927e-14,1.3168256707082804e-14,-6.929456485360542e-18,-6.6905973556149735e-18,-3.545526326295465e-17,5.023757516672606e-10,-6.344535684402433e-17,-6.296455796735874e-17,-5.504510648630844e-11,-1.338720935129545e-16,6.423342840476328e-13,-4.618738012010395e-19,-4.016113542581655e-15,2.1148253045463252e-13,3.3034645759282934e-14,2.227639887992522e-10,-2.82625664237137e-21,-2.8203971212980468e-21,-2.4449973966091175e-15,6.106160157306621e-11,6.101483663418405e-11,-1.0656601332291049e-17,-1.0789464038034047e-17,-4.145299618362001e-14,1.5434276403605647e-11,-1.5449885384648295e-14,-5.5937303273414266e-14,3.113108999479546e-11,-5.1229876506495235e-14
flux,v_pfkB,-9.008310711317101e-12,8.601693166892071e-10,3.935917208800719e-10,5.301445377458329e-11,-1.1097069164565484e-15,6.105248969721172e-15,-2.8525003491512407e-18,-8.084142397585498e-17,2.886579864025407e-14,9.547918011776346e-15,-4.7704895589362195e-18,-5.312590645178972e-18,-2.6020852139652106e-17,3.944300438023847e-10,-4.981330640974198e-17,-4.943543984073912e-17,-4.3217516917963925e-11,-1.0458634334289482e-16,5.022230470860841e-13,-3.611239170392036e-19,-3.1436832821937662e-15,1.6554213493220314e-13,2.5861800955947237e-14,1.7439891460131517e-10,-2.212589314043344e-21,-2.207702631505896e-21,-1.914799757597934e-15,4.782299767872658e-11,4.777806237890285e-11,-8.345215618082774e-18,-8.449163858375257e-18,-3.244380989012903e-14,1.207982657067763e-11,-1.2092040093294375e-14,-4.396931757069272e-14,2.4470097195984705e-11,-4.0269202565548166e-14
