kind,name,v_max_1,Ka1_1,Ka2_1,Ka3_1,K_g6p_1,Ks_g6p_pgi,Kp_f6p_pgi,kcat_f_2,Ks_f6p_3,Ks_atp_3,Kp_fbp_3,Kp_adp_3,kcat_f_3,Ks_fbp_4,Kp_g3p_4,Kp_dhap_4,kcat_f_4,kcat_f_5,Ks_dhap_5,Kp_g3p_5,kcat_f_6,Ks_g3p_6,Ks_pi_6,Ks_nad_6,Kp_pgp_6,Kp_nadh_6,kcat_f_7,Ks_pgp_7,Ks_adp_7,Ks_3pg_7,Ks_atp_7,kcat_f_8,Ks_3pg_8,Ks_2pg_8,kcat_f_9,Ks_2pg_9,Ks_pep_9
concentration,C_g6p,-0.00012541010686856275,0.011401230736482049,0.006447449976388656,0.0007233834331954063,-1.1113957665812613e-05,0.02617672791912477,-0.00029460299299783585,-0.0003745868147402026,0.6871397815589735,0.22620104954835926,-0.00012501717031310354,-0.00012463876618683584,-0.0006704273073367885,0.014327438558426367,-1.1530374419859857e-09,-1.1443075497355822e-09,-0.001529406686419818,-3.5636976729947422e-09,2.1364296473226456e-05,-1.2249953877306989e-11,-1.0289118602964579e-07,3.7538633321652944e-06,5.861568900211752e-07,0.003952315063380042,-7.561518253586418e-14,-7.550013890604474e-14,-5.835823062523801e-08,0.0005746598734392707,0.0005746598734410086,-2.5917827459129404e-10,-2.626326446765882e-10,-2.9896840077122795e-07,0.00010866228589860404,-1.3690535331516794e-07,-2.4278570969397546e-06,0.0013218582437454754,-2.552576544713211e-06
concentration,C_f6p,-4.628412152175854e-05,0.004207762532712024,0.002379509639724598,0.00026697343272287424,-4.101740920540565e-06,7.394073019261201e-06,-8.321574983129376e-08,-1.0580857427250922e-07,0.2535972711335415,0.0834822410701653,-4.6139103115687226e-05,-4.5999448482987236e-05,-0.0002474293298057666,0.005287715032553733,-4.2554245758748686e-10,-4.2232058493407843e-10,-0.0005644460936748601,-1.3152258640436052e-09,7.884752823349642e-06,-4.520994105323152e-12,-3.7973240567483893e-08,1.3854088077885464e-06,2.1632831201515572e-07,0.0014586498269826551,-2.7906700542426068e-14,-2.7864242295086568e-14,-2.153781306401478e-08,0.0002120851985562061,0.00021208519855667098,-9.565288680981143e-11,-9.692776400099861e-11,-1.1033791564264858e-07,4.0103134993837654e-05,-5.05265816927491e-08,-8.960301184498159e-07,0.0004878478227611456,-9.420593438528853e-07
concentration,C_fbp,-0.01172148373478947,1.0656185850660254,0.6026123565010494,0.06761119464719537,-0.0010387685431565168,0.001872553778250302,-2.107444250963525e-05,-2.6796089923525253e-05,0.04915458487069861,0.016181305443616865,-8.943110664482158e-06,-8.91604150295325e-06,-4.7959057039825824e-05,1.339117254648293,-1.0776890283090894e-07,-1.0695296149597353e-07,-0.14294633858016267,-3.330818014173783e-07,0.001996818756329538,-1.1449446836209963e-09,-9.616747753567618e-06,0.00035085567733629774,5.4785285045699777e-05,0.36940401285846614,-7.067389976183328e-12,-7.056637397603244e-12,-5.45446509986556e-06,0.05371071381702232,0.05371071381702142,-2.42241555007185e-08,-2.454701897455266e-08,-2.7943148557172494e-05,0.010156144895569336,-1.2795889519064862e-05,-0.00022692020749214177,0.12354777689514432,-0.0002385771386199223
concentration,C_dhap,-0.007400549641999015,0.6727956474325569,0.38046912490538276,0.042687428798485166,-0.0006558434362162154,0.001182267322704543,-1.3305692478769866e-05,-1.6918147751376136e-05,0.031034547647626348,0.010216330706722664,-5.646378557869066e-06,-5.629288001912553e-06,-3.0279731682261348e-05,0.0006470958768493226,-5.207670383790736e-11,-5.168242001255593e-11,-6.907534495938667e-05,-4.204336168475586e-07,0.002520491147640665,-1.4452102527869664e-09,-6.071690304328115e-06,0.00022151844562115622,3.458958189980704e-05,0.23322923931539455,-4.462111754920115e-12,-4.455322939326593e-12,-3.4437653675454496e-06,0.03391113385504491,0.03391113385504379,-1.5294315069221053e-08,-1.549816018130389e-08,-1.76423618997407e-05,0.006412247474089605,-8.078893230752137e-06,-0.00014326976842821148,0.0780039009359741,-0.00015062956173052724
concentration,C_g3p,-0.0008342826512657724,0.07584595248367106,0.04289124532716342,0.004812261655757143,-7.393488690036309e-05,0.00013327998111021418,-1.4999843167211904e-06,-1.9072255228750197e-06,0.0034986029342142077,0.001151712761960507,-6.365305147844094e-07,-6.346038532491522e-07,-3.413510624147314e-06,7.294875251157194e-05,-5.870738349295248e-12,-5.826289737855128e-12,-7.787038094925143e-06,-1.8144715687475603e-11,1.0877720864862222e-07,-6.237115230002636e-14,-6.844769820895678e-07,2.497233382075789e-05,3.899370923718375e-06,0.026292521169574406,-5.03025127216543e-13,-5.022598068895003e-13,-3.8822436712916673e-07,0.003822887762208584,0.0038228877622084596,-1.7241667636185296e-09,-1.747146737915426e-09,-1.9888680128264375e-06,0.0007228688519155365,-9.107540371858662e-07,-1.6151162823392002e-05,0.00879357675173416,-1.698085090955495e-05
concentration,C_pgp,-3.0772930145484517e-06,0.00027976156450783583,0.00015820648964744757,1.775026623767809e-05,-2.7271250414289185e-07,4.916098329833463e-07,-5.532766686178329e-09,-7.034896110818247e-09,1.2904770767792648e-05,4.2481497508920615e-06,-2.3478744328705125e-09,-2.340767846060743e-09,-1.2590903553889054e-08,2.690750987181926e-07,-2.1654510142496688e-14,-2.1490559238824924e-14,-2.872287699070202e-08,-6.692768547643115e-14,4.012301398786076e-10,-2.3005909464527716e-16,-1.9323381443594695e-12,7.049907372455105e-11,1.1008263779722828e-11,7.422607752955659e-08,-1.4200837512799883e-18,-1.4179231848975763e-18,-1.4319848689548821e-09,1.410091146950359e-05,1.4100911469510533e-05,-6.3596747811439616e-12,-6.444437558211408e-12,-7.33603849180375e-09,2.6663376795123573e-06,-3.359361521364856e-09,-5.957436662245169e-08,3.243554480002479e-05,-6.263471235532172e-08
concentration,C_3pg,-0.004827891853518351,0.43891126773725125,0.24820640053835044,0.02784797072021027,-0.0004278521645098328,0.0007712749798438505,-8.68022612254533e-06,-1.1036881266487345e-05,0.020245988070304304,0.006664821152191358,-3.6835243813125965e-06,-3.6723750262152e-06,-1.9753569260029694e-05,0.00042214552717335154,-3.397324628638728e-11,-3.371602759708182e-11,-4.506263902431928e-05,-1.0500125507125647e-10,6.294804298947678e-07,-3.6093424578834613e-13,-3.0315993858467457e-09,1.1060432106631069e-07,1.7270603406480582e-08,0.00011645152885431048,-2.227935645347279e-15,-2.2245459846279438e-15,-1.7194745524057457e-09,1.6931853793561297e-05,1.6931853794344575e-05,-7.636462635111858e-12,-7.738242648686818e-12,-1.1509336388908134e-05,0.004183153798092559,-5.270422428199129e-06,-9.346480752248342e-05,0.05088735514105905,-9.826611118865691e-05
concentration,C_2pg,-0.0009011683389128922,0.08192663590603923,0.046329900599925096,0.005198067868429601,-7.98623573373185e-05,0.0001439652364881442,-1.6202403023054164e-06,-2.0601306449006105e-06,0.003779091162879297,0.0012440472962324898,-6.875621179529656e-07,-6.854809930815045e-07,-3.6871768750765867e-06,7.879716497556427e-05,-6.341404373769315e-12,-6.293392249535411e-12,-8.411336785234096e-06,-1.9599405148884902e-11,1.1749804295655315e-07,-6.737154246876133e-14,-5.658746133150396e-10,2.064526655673991e-08,3.2237095936775555e-09,2.173669917209761e-05,-4.158637278016036e-16,-4.1523101790189683e-16,-3.2095500546675757e-10,3.160479007543714e-06,3.160479007691114e-06,-1.4254127247107799e-12,-1.444410856880211e-12,-1.6442480132924262e-09,5.97614153354642e-07,-7.529436375735649e-10,-1.7446025697627886e-05,0.009498570948874763,-1.8342231118283445e-05
concentration,C_pep,-0.004032301922297684,0.3665829314973705,0.20730438385607367,0.023258894207698638,-0.000357346261630727,0.0006441763150883406,-7.249808724362923e-06,-9.218109870169456e-06,0.01690964484948746,0.005566523020637826,-3.0765151528358013e-06,-3.0672031037353487e-06,-1.6498371901482334e-05,0.00035258004226529317,-2.8374785093060738e-11,-2.815995354678012e-11,-3.7636753557820815e-05,-8.769806754654242e-11,5.25748165802465e-07,-3.0145578588882953e-13,-2.532021236457814e-09,9.237780264951579e-08,1.4424575620176944e-08,9.726144735792428e-05,-1.860793478775831e-15,-1.8579624012515896e-15,-1.4361218381114058e-09,1.4141648655878553e-05,1.4141648656478237e-05,-6.378047724559981e-12,-6.463055379864478e-12,-7.357232131690263e-09,2.6740406653199978e-06,-3.3690666364973436e-09,-5.97464755304451e-08,3.25292503062018e-05,-6.281566252816065e-08
flux,v_pts,1.9066553891278204e-11,-1.7333716684220235e-09,-9.802314515638955e-10,-1.0997847077476308e-10,1.6896961260726151e-12,-3.046131037707792e-12,3.428089932084692e-14,4.358906835545265e-14,-8.051328568056532e-11,-2.6504316201376677e-11,1.4648525790710446e-14,1.460390791373145e-14,7.855497482077286e-14,-2.175339051536395e-09,1.7506558580110413e-16,1.7374106947815712e-16,2.322105926155428e-10,5.425013186199069e-16,-3.2527625671954522e-12,1.8644428753674628e-18,1.5643013647075732e-14,-5.705280144376637e-13,-8.910388036549168e-14,-6.008923032716012e-10,1.1495181691394328e-20,1.147890337832206e-20,8.87933341687297e-15,-8.74463875242681e-11,-8.743970098971283e-11,3.9446055786561327e-17,3.9964082802580405e-17,4.5436899361479855e-14,-1.651470679732486e-11,2.0806948793985307e-14,3.691318444350628e-13,-2.0097861185329956e-10,3.8809583713065083e-13
