condition,ss_residual,rank_A,cond_A,n_bound_active,rank_G
KO02,1.5076676143956785e-12,9,155519033.19862813,0,6
KO03,4.090872887583535e-12,9,448237905.0479922,0,6
KO04,0.697766466182156,9,5717451415.771171,0,6
KO05,5.631876712944581e-11,9,818029415.8022805,0,6
KO07,2.255606628962099e-12,9,204491598.27219564,0,6
KO08,3.019044657135139e-12,9,317826746.3529581,0,6
KO10,3.3192467502487206e-12,9,117189351.04876243,0,6
KO11,5.671862707116912e-12,9,106853744.96499592,0,7
KO12,2.519912796579476e-12,9,127686287.9091223,0,7
KO13,3.4797137834292327e-12,9,191827051.3915597,0,6
KO14,1.0818987775532288e-12,9,107927214.27723986,0,7
KO15,2.5979281545064608e-12,9,114777883.59622234,0,7
KO16,4.4420903011807804e-12,9,141481536.91641533,0,6
KO17,7.245792230890464e-13,9,158465536.17407617,0,6
KO18,2.1178953546835397e-12,9,218023670.77230102,0,6
KO19,2.028703543486877e-12,9,217086633.35472605,0,6
KO20,2.714462874913308e-12,9,139809292.4667778,0,7
KO21,3.4429466047657745e-12,9,174016687.45258823,0,6
KO22,2.5665454922992393e-12,9,160455367.44773793,0,6
KO23,2.0931956706364162e-12,9,200176246.85749105,0,6
KO24,8.950997209212817e-13,9,158645445.7479538,0,6
RF03,1.1817866196228666e-12,9,98112210.70015833,0,7
